Kood;Nimetus eesti keeles;Kehtiv alates
AAA00;Eksploratiivne kraniotoomia;1.1.2003
AAA10;Biopsia kraniotoomia kaudu;1.1.2003
AAA20;Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;1.1.2003
AAA25;Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;1.1.2003
AAA27;Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;1.1.2003
AAA30;Epiduraalsete elektroodide paigaldamine;1.1.2003
AAA35;Subduraalsete elektroodide paigaldamine;1.1.2003
AAA40;Intratserebraalsete elektroodide paigaldamine;1.1.2003
AAA50;Intrakraniaalne endoskoopia;1.1.2010
AAA99;Muu diagnostiline intrakraniaalne protseduur;1.1.2003
AAB00;Intrakraniaalse kahjustuskolde ekstirpatsioon;1.1.2003
AAB10;Intrakraniaalse kahjustuskolde osaline ekstsisioon;1.1.2003
AAB20;Intrakraniaalse kahjustuskolde destruktsioon;1.1.2003
AAB30;Spontaanse intrakraniaalse hematoomi evakuatsioon;1.1.2003
AAB99;Intrakraniaalse kahjustuskolde muu ekstsisioon või destruktsioon;1.1.2003
AAC00;Intrakraniaalse aneurüsmi klipsimine või ligeerimine;1.1.2003
AAC05;Intrakraniaalse aneurüsmi toitva arteri ligeerimine;1.1.2003
AAC10;Intrakraniaalse aneurüsmi seina tugevdamine;1.1.2003
AAC15;Intrakraniaalse aneurüsmi okluseerimine;1.1.2003
AAC20;Anastomoos intrakraniaalsele veresoonele;1.1.2003
AAC30;Vaskulaarse fistuli intrakraniaalne okluseerimine;1.1.2003
AAC40;Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon;1.1.2003
AAC99;Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral;1.1.2003
AAD00;Epiduraalse hematoomi evakuatsioon;1.1.2003
AAD05;Ägeda subduraalse hematoomi evakuatsioon;1.1.2003
AAD10;Kroonilise subduraalse hematoomi evakuatsioon;1.1.2003
AAD15;Traumaatilise intratserebraalse hematoomi evakuatsioon;1.1.2003
AAD30;Kolju penetreeriva või perforeeriva vigastuse revisioon;1.1.2003
AAD40;Koljumurru revisioon;1.1.2003
AAD99;Muu operatsioon traumaatilise peavigastuse korral;1.1.2003
AAE00;Transsfenoidaalne eksploratsioon;1.1.2003
AAE10;Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;1.1.2003
AAE20;Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;1.1.2003
AAE25;Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;1.1.2003
AAE30;Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;1.1.2003
AAE40;Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;1.1.2003
AAE50;Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu;1.1.2003
AAE99;Muu operatsioon koljupõhimiku kaudu;1.1.2003
AAF00;Ventrikulostoom;1.1.2003
AAF05;Ventrikuloperitoneaalne sunteerimine;1.1.2003
AAF10;Lumboperitoneaalne sunteerimine;1.1.2003
AAF15;Ventrikuloatriaalne sunteerimine;1.1.2003
AAF20;Ajuvatsakeste sundi revisioon;1.1.2003
AAF25;Ajuvatsakeste sundi eemaldamine;1.1.2003
AAF30;Intraventrikulaarse süstesüsteemi implantatsioon;1.1.2003
AAF35;Reservuaari implantatsioon intraventrikulaarse teraapia jaoks;1.1.2003
AAF40;Intrakraniaalse tsüsti sunteerimine peritoneumi;1.1.2003
