Code	Text in Estonian	Text in English	Valid from	
AAA00	Eksploratiivne kraniotoomia	Exploratory craniotomy	1.1.2003	
AAA10	Biopsia kraniotoomia kaudu	Biopsy through craniotomy	1.1.2003	
AAA20	Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks	Insertion of intraventricular pressure monitoring device	1.1.2003	
AAA25	Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks	Insertion of epidural pressure monitoring device	1.1.2003	
AAA27	Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks	Insertion of intracerebral pressure monitoring device	1.1.2003	
AAA30	Epiduraalsete elektroodide paigaldamine	Insertion of epidural electrodes	1.1.2003	
AAA35	Subduraalsete elektroodide paigaldamine	Insertion of subdural electrodes	1.1.2003	
AAA40	Intratserebraalsete elektroodide paigaldamine	Insertion of intracerebral electrodes	1.1.2003	
AAA50	Intrakraniaalne endoskoopia	Intracranial endoscopy	1.1.2010	
AAA99	Pealae osaline ekstsisioon	Other diagnostic intracranial procedures	1.1.2003	
AAB00	Eelnevalt eemaldatud pealae  osa replantatsioon	Extirpation of intracranial lesion	1.1.2003	
AAB10	Lihase lokaalne transpositsioon näo halvatuse korral	Partial excision of intracranial lesion	1.1.2003	
AAB20	Kogu näo närvide transplantatsioon näo halvatuse korral	Destruction of intracranial lesion	1.1.2003	
AAB30	Mikrovaskulaarne transpositsioon näo halvatuse korral	Evacuation of spontaneous intracranial haematoma	1.1.2003	
AAB99	Muu rekonstruktiivne operatsioon näo halvatuse korral	Other excision or destruction of intracranial lesion	1.1.2003	
AAC00	Intratekaalne endoskoopia	Ligature of intracranial aneurysm	1.1.2003	
AAC05	Epiduroskoopia	Ligature of feeding artery of intracranial aneurysm	1.1.2003	
AAC10	Närvijuure kahjustuskolde ekstsisioon	Reinforcement of intracranial aneurysm wall	1.1.2003	
AAC15	Närvijuure kahjustuskolde destruktsioon	Trapping of intracranial aneurysm	1.1.2003	
AAC20	Närvijuure kahjustuskolde perkutaanne destruktsioon	Anastomosis to intracranial vessel	1.1.2003	
AAC30	Vaskulaarse fistuli intrakraniaalne okluseerimine	Intracranial occlusion of vascular fistula	1.1.2003	
AAC40	Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon	Extirpation of intracranial arterio-venous malformation	1.1.2003	
AAC99	Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral	Other operation for aneurysm or other intracranial vascular lesion	1.1.2003	
AAD00	Epiduraalse hematoomi evakuatsioon	Evacuation of epidural haematoma	1.1.2003	
AAD05	Ägeda subduraalse hematoomi evakuatsioon	Evacuation of acute subdural haematoma	1.1.2003	
AAD10	Kroonilise subduraalse hematoomi evakuatsioon	Evacuation of chronic subdural haematoma	1.1.2003	
AAD15	Traumaatilise intratserebraalse hematoomi evakuatsioon	Evacuation of traumatic intracerebral haematoma	1.1.2003	
AAD30	Kolju penetreeriva või perforeeriva vigastuse revisioon	Revision of penetrating or perforating injury of skull	1.1.2003	
AAD40	Koljumurru revisioon	Revision of fracture of skull	1.1.2003	
AAD99	Muu operatsioon traumaatilise peavigastuse korral	Other operation for head injury	1.1.2003	
AAE00	Transsfenoidaalne eksploratsioon	Transsphenoidal exploration	1.1.2003	
AAE10	Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon	Transsphenoidal total or partial excision of intracranial lesion	1.1.2003	
AAE20	Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon	Transoral total or partial excision of intracranial lesion	1.1.2003	
AAE25	Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon	Transcervical total or partial excision of intracranial lesion	1.1.2003	
AAE30	Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon	Translabyrinthine total or partial excision of intracranial lesion	1.1.2003	
AAE40	Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon	Transtemporal total or partial excision of intracranial lesion	1.1.2003	
AAE50	Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu	Zygomaticotemporal total or partial excision of intracranial lesion	1.1.2003	
AAE99	Muu operatsioon koljupõhimiku kaudu	Other operation by cranial base approach	1.1.2003	
AAF00	Ventrikulostoom	Ventriculostomy	1.1.2003	
AAF05	Ventrikuloperitoneaalne sunteerimine	Ventriculoperitoneal shunt	1.1.2003	
AAF10	Lumboperitoneaalne sunteerimine	Lumboperitoneal shunt	1.1.2003	
AAF15	Ventrikuloatriaalne sunteerimine	Ventriculoatrial shunt	1.1.2003	
AAF20	Ajuvatsakeste sundi revisioon	Revision of shunt of ventricle of brain	1.1.2003	
AAF25	Ajuvatsakeste sundi eemaldamine	Removal of shunt of ventricle of brain	1.1.2003	
AAF30	Intraventrikulaarse süstesüsteemi implantatsioon	Implantation of intraventricular injection device	1.1.2003	
AAF35	Reservuaari implantatsioon intraventrikulaarse teraapia jaoks	Implantation of reservoir for intraventricular therapy	1.1.2003	
AAF40	Intrakraniaalse tsüsti sunteerimine peritoneumi	Shunt of intracranial cyst to peritoneum	1.1.2003	
AAF45	Intrakraniaalse tsüsti fenestratsioon	Fenestration of intracranial cyst	1.1.2003	
AAF99	Muu sunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil	Other shunt operation on ventricle of brain or intracranial cyst	1.1.2003	
AAG00	Stereotaktiline intrakraniaalne biopsia	Stereotactic intracranial biopsy	1.1.2003	
AAG10	Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon	Stereotactic intracranial destruction of nucleus or nerve tract	1.1.2003	
AAG20	Stereotaktiline elektroodide intrakraniaalne implanteerimine	Stereotactic intracranial implantation of electrodes	1.1.2003	
AAG30	Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine	Stereotactic intracranial implantation of radioactive agent	1.1.2003	
AAG40	Stereotaktiline lootekoe intrakraniaalne implanteerimine	Stereotactic intracranial implantation of fetal tissue	1.1.2003	
AAG50	Stereotaktiline intrakraniaalne radioteraapia	Stereotactic intracranial radiotherapy	1.1.2003	
AAG99	Muu stereotaktiline intrakraniaalne operatsioon	Other stereotactic intracranial operation	1.1.2003	
AAH10	Kraniaalnärvi risotoomia	Rhizotomy of cranial nerve	1.1.2003	
AAH20	Kraniaalnärvi dekompressioon	Decompression of cranial nerve	1.1.2003	
AAH30	Kraniaalnärvi termiline destruktsioon	Thermal destruction of cranial nerve	1.1.2003	
AAH40	Süstimine kraniaalnärvi	Injection into cranial nerve	1.1.2003	
AAH50	Kraniaalnärvi anastomoos	Cranial nerve anastomosis	1.1.2003	
AAH60	Kraniaalnärvi mikrovaskulaarne dekompressioon	Microvascular decompression of cranial nerve	1.1.2003	
AAH99	Muu operatsioon kraniaalnärvil	Other operation on cranial nerve	1.1.2003	
AAJ00	Hemisferektoomia	Hemispherectomy	1.1.2003	
AAJ10	Lobektoomia epilepsia korral	Lobectomy for epilepsy	1.1.2003	
AAJ15	Hipokampektoomia	Hippocampectomy	1.1.2003	
AAJ20	Epileptilise kolde ekstsisioon	Excision of epileptic focus	1.1.2003	
AAJ25	Närvitraktide läbilõige epilepsia korral	Transcision of nerve tracts for epilepsy	1.1.2003	
AAJ30	Kallosotoomia epilepsia korral	Callosotomy for epilepsy	1.1.2003	
AAJ35	Hemidekortikatsioon epilepsia korral	Hemidecortication for epilepsy	1.1.2003	
AAJ99	Muu operatsioon epilepsia korral	Other operation for epilepsy	1.1.2003	
AAK00	Kranioplastika	Cranioplasty	1.1.2003	
AAK10	Dura korrektsioon	Repair of dura	1.1.2003	
AAK20	Operatsioonid kraniosünostoosi korral	Operations for craniosynostosis	1.1.2003	
AAK30	Näokolju rekonstruktsioon kaasasündinud väärarengute korral	Craniofacial reconstruction in congenital malformations	1.1.2003	
AAK40	Liikvori fistuli sulgemine	Closure of cerebrospinal fluid fistula	1.1.2003	
AAK70	Koljubiopsia	Biopsy of skull	1.1.2003	
