usedate	level	code	text
2003/01/01	kood	AAA00	Eksploratiivne kraniotoomia
2003/01/01	kood	AAA10	Biopsia kraniotoomia kaudu
2003/01/01	kood	AAA20	Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks
2003/01/01	kood	AAA25	Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks
2003/01/01	kood	AAA27	Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks
2003/01/01	kood	AAA30	Epiduraalsete elektroodide paigaldamine
2003/01/01	kood	AAA35	Subduraalsete elektroodide paigaldamine
2003/01/01	kood	AAA40	Intratserebraalsete elektroodide paigaldamine
2003/01/01	kood	AAA99	Muu diagnostiline intrakraniaalne protseduur
2003/01/01	kood	AAB00	Intrakraniaalse kahjustuskolde ekstirpatsioon
2003/01/01	kood	AAB10	Intrakraniaalse kahjustuskolde osaline ekstsisioon
2003/01/01	kood	AAB20	Intrakraniaalse kahjustuskolde destruktsioon
2003/01/01	kood	AAB30	Spontaanse intrakraniaalse hematoomi evakuatsioon
2003/01/01	kood	AAB99	Intrakraniaalse kahjustuskolde muu ekstsisioon või destruktsioon
2003/01/01	kood	AAC00	Intrakraniaalse aneurüsmi klipsimine või ligeerimine
2003/01/01	kood	AAC05	Intrakraniaalse aneurüsmi toitva arteri ligeerimine
2003/01/01	kood	AAC10	Intrakraniaalse aneurüsmi seina tugevdamine
2003/01/01	kood	AAC15	Intrakraniaalse aneurüsmi okluseerimine
2003/01/01	kood	AAC20	Anastomoos intrakraniaalsele veresoonele
2003/01/01	kood	AAC30	Vaskulaarse fistuli intrakraniaalne okluseerimine
2003/01/01	kood	AAC40	Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon
2003/01/01	kood	AAC99	Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral
2003/01/01	kood	AAD00	Epiduraalse hematoomi evakuatsioon
2003/01/01	kood	AAD05	Ägeda subduraalse hematoomi evakuatsioon
2003/01/01	kood	AAD10	Kroonilise subduraalse hematoomi evakuatsioon
2003/01/01	kood	AAD15	Traumaatilise intratserebraalse hematoomi evakuatsioon
2003/01/01	kood	AAD30	Kolju penetreeriva või perforeeriva vigastuse revisioon
2003/01/01	kood	AAD40	Koljumurru revisioon
2003/01/01	kood	AAD99	Muu operatsioon traumaatilise peavigastuse korral
2003/01/01	kood	AAE00	Transsfenoidaalne eksploratsioon
2003/01/01	kood	AAE10	Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon
2003/01/01	kood	AAE20	Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon
2003/01/01	kood	AAE25	Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon
2003/01/01	kood	AAE30	Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon
2003/01/01	kood	AAE40	Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon
2003/01/01	kood	AAE50	Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu
2003/01/01	kood	AAE99	Muu operatsioon koljupõhimiku kaudu
2003/01/01	kood	AAF00	Ventrikulostoom
2003/01/01	kood	AAF05	Ventrikuloperitoneaalne šunteerimine
2003/01/01	kood	AAF10	Lumboperitoneaalne šunteerimine
2003/01/01	kood	AAF15	Ventrikuloatriaalne šunteerimine
2003/01/01	kood	AAF20	Ajuvatsakeste šundi revisioon 
2003/01/01	kood	AAF25	Ajuvatsakeste šundi eemaldamine
2003/01/01	kood	AAF30	Intraventrikulaarse süstesüsteemi implantatsioon
2003/01/01	kood	AAF35	Reservuaari implantatsioon intraventrikulaarse teraapia jaoks
2003/01/01	kood	AAF40	Intrakraniaalse tsüsti šunteerimine peritoneumi
