code;text
AADA1A;Head X-ray examination
AADA1L;Dynamic X-ray examination of head region
AADA2A;Cranial basis X-ray examination
AADA3A;Facial bones X-ray examination
AADA4A;Sella turcica X-ray examination
AADA6A;Cranial sutures X-ray examination
AADA7A;Liquor cerebri shunt X-ray examination without contrast
AADB7E;Valvulography or liquor cerebri shunt with contrast
AADC2A;Cerebral angiography with X-ray
AADC3A;Carotis angiography with X-ray
AADC4A;Vertebralis angiography with X-ray
AADC5A;Angiography of arteries to the face with X-ray
AADC7A;Angiography of arteries of neck and brain
AADC9A;Direct puncture and X-ray angiography of arteries of head and neck
AADD1A;Head and brain CT examination
AADD4A;Sella turcica CT examination
AADD6A;Cranial bones CT examination
AADD7A;CT angiography of brain
AADE5A;Brain ultrasonography
AADE5H;Brain ultrasonography of a child
AADE9X;Other ultrasonography of central nervous system
AADG1A;Head MRI examination
AADG4B;Sella turcica MRI examination
AADG5F;Functional MRI examination of brain
AADK5A;Brain spectroscopy
AADK5N;Tractography within white matter of central nervous system
AAF110;Diagnostic test for parkinsonism with L-Dopa
AAF800;Neuropsychological investigation
AAF899;Other psychological examination
AAFA10;Intracerebral pressure measurement
AAFC00;Transillumination of head
AAFD00;Magnetoencephalography (MEG)
AAFE00;Electroencephalography (EEG), awake
AAFE04;Electroencephalography (EEG) with sleep deprivation
AAFE10;Longterm EEG
AAFE12;Ambulatory longterm EEG
AAFE20;Sphenoidal EEG
AAFE24;Intracarotid amobarbital procedure (WADA) with EEG
AAFE29;Other special EEG
AAFE30;EEG with videotelemetry
AAFE40;Intracranial EEG
AAFE42;EEG with intracranial stimulation
AAFE90;Quantitative or dipolar analysis EEG
AAFE94;EEG combined to radiological imaging
AAFE99;EEG during other intervention
AAFG00;Brainstem auditory evoked potential (BAEP)
AAFG02;Brainstem auditory evoked potential (BAEP) to measure treshold of hearing
AAFG10;Brainstem auditory evoked potential (BAEP) with special methods
AAFG12;Event related or cognitive evoked potentials (ERP)
AAFG20;Somatosensory evoked potential (SEP)
AAFG40;Visual evoked potential (VEP)
AAFG42;Electrooculography
AAFG60;Magnetfield evoked potential
AAFG62;Magnetfield evoked potential with focused stimulation
AAFG80;Electroretinography wit cutaneous electrodes
AAFG82;Electroretinography wit corneal electrodes
AAFH00;Standard polysomnography (PSG) in sleep laboratory
AAFH02;Polysomnography with special tracings
AAFH04;Polysomnography, ambulatory
AAFH10;Actigraphy
AAFH20;Maintenance of Wakefulness Test (MWT)
AAFH30;Multiple Latency Sleep Test (MLST)
AAFH40;Night polygraphy, ambulatory
AAFH42;Night polygraphy in sleep laboratory
AAFH80;Apnoemonitoring
AAFL00;Induced paralysis of one hemisphere (Wada-test)
AAIA00;Brain isotope imaging
AAIA02;Radionuclide cisternography or ventriculography
AAIA10;Brain blood flow isotope examination
AAIA20;Cerebral fluid flow isotope examination
AAIA22;Cerebral fluid shunt function isotope examination
AAIA24;Cerebral fluid leakage isotope examination
AAIA30;Brain receptor or transprot protein distribution isotope imaging
AAIB00;Brain SPECT
AAIC00;Brain PET
AAIC04;Brain gamma PET
AAIC10;Brain perfusion PET
AAIC20;Brain metabolism PET
AAIC30;Brain receptor or transportprotein PET
AAID00;Skull bones isotope imaging
AAO001;Preoperative radiotherapy of brain and other intracranial structures
AAO002;Radical radiotherapy of brain and other intracranial structures
AAO003;Adjuvant radiotherapy of brain and other intracranial structures
AAO004;Palliative radiotherapy of brain and other intracranial structures
AAO029;Radiotherapy of local residive of tumor or brain or other intracranial structures
AAO049;Radiotherapy of metasthasis in the brain and other intracranial structures
AAO090;Profylactic radiotherapy of brain and other intracranial structures
AAO099;Other radiotherapy of brain and other intracranial structures
AAO101;Preoperative radiotherapy of primary tumor of bones of the head
AAO102;Radical radiotherapy of primary tumor of bones of the head
AAO103;Adjuvant radiotherapy of primary tumor of bones of the head
AAO104;Palliative radiotherapy of primary tumor of bones of the head
AAO129;Radiotherapy of loca recidive of tumor of bones of the head
AAO149;Radiotherapy of methastasis in bones of the head
AAO190;Prophylactic radiotherapy of bones of the head
AAO199;Other radiotherapy of bones of the head
AASA00;Exploratory craniotomy
AASA10;Biopsy through craniotomy
AASA12;Ultrasound guided biopsy through craniotomy
AASA14;Endoscopic biopsy through craniotomy
AASA20;Insertion of intraventricular pressure monitoring device
AASA25;Insertion of epidural pressure monitoring device
AASA27;Insertion of intracerebral pressure monitoring device
AASA30;Insertion of epidural electrodes
AASA35;Insertion of subdural electrodes
AASA40;Insertion of intracerebral electrodes
AASA50;Intracranial endoscopy
AASA99;Other diagnostic intracranial procedures
AASB00;Extirpation of intracranial lesion
AASB10;Partial excision of intracranial lesion
AASB20;Destruction of intracranial lesion
AASB30;Evacuation of spontaneous intracranial haematoma
AASB99;Other excision or destruction of intracranial lesion
AASC00;Ligature of intracranial aneurysm
AASC05;Ligature of feeding artery of intracranial aneurysm
AASC10;Reinforcement of intracranial aneurysm wall
AASC15;Trapping of intracranial aneurysm
AASC20;Anastomosis to intracranial vessel
AASC30;Intracranial occlusion of vascular fistula
AASC40;Extirpation of intracranial arterio-venous malformation
AASC45;Vascular operation on sinus cavernosus
AASC99;Other operation for aneurysm or other intracranial vascular lesion
AASD00;Evacuation of epidural haematoma
AASD05;Evacuation of acute subdural haematoma
AASD10;Evacuation of chronic subdural haematoma
AASD12;Drainage of subdural fluid
AASD15;Evacuation of traumatic intracerebral haematoma
AASD16;Removal of subdural drainage
AASD30;Revision of penetrating or perforating injury of skull
AASD40;Revision of fracture of skull
AASD42;Treatment of frontobasal fracture of skull
AASD99;Other operation for head injury
AASE00;Transsphenoidal exploration
AASE10;Transsphenoidal total or partial excision of intracranial lesion
AASE20;Transoral total or partial excision of intracranial lesion
AASE25;Transcervical total or partial excision of intracranial lesion
AASE30;Translabyrinthine total or partial excision of intracranial lesion
AASE32;Translabyrinthine excision acoustic neurinome
AASE34;Other operations on acoustical nerve
AASE40;Transtemporal total or partial excision of intracranial lesion
AASE50;Zygomaticotemporal total or partial excision of intracranial lesion
AASE99;Other operation by cranial base approach
AASF00;Ventriculostomy
AASF05;Ventriculoperitoneal shunt
AASF10;Lumboperitoneal shunt
AASF12;Lumbal drainage of cerebrospinal fluid
AASF15;Ventriculoatrial shunt
AASF20;Revision of shunt of ventricle of brain
AASF25;Removal of shunt of ventricle of brain
AASF30;Implantation of intraventricular injection device
AASF35;Implantation of reservoir for intraventricular therapy
AASF40;Shunt of intracranial cyst to peritoneum
AASF45;Fenestration of intracranial cyst
AASF99;Other shunt operation on ventricle of brain or intracranial cyst
AASG00;Stereotactic intracranial biopsy
AASG10;Stereotactic intracranial destruction of nucleus or nerve tract
AASG20;Stereotactic intracranial implantation of electrodes
AASG22;Implantation of electrode to thalamus
AASG23;Revision of thalamic electrode
AASG30;Stereotactic intracranial implantation of radioactive agent
AASG40;Stereotactic intracranial implantation of fetal tissue
AASG50;Stereotactic intracranial radiotherapy
AASG99;Other stereotactic intracranial operation
AASH10;Rhizotomy of cranial nerve
AASH20;Decompression of cranial nerve
AASH30;Thermal destruction of cranial nerve
AASH40;Injection into cranial nerve
AASH50;Cranial nerve anastomosis
AASH60;Microvascular decompression of cranial nerve
AASH70;Nervtransplantation to cranial nerve
AASH80;Microvascural muscle transplantation in cranial nerve area
AASH99;Other operation on cranial nerve
AASJ00;Hemispherectomy
AASJ10;Lobectomy for epilepsy
AASJ15;Hippocampectomy
AASJ20;Excision of epileptic focus
AASJ25;Transcision of nerve tracts for epilepsy
AASJ30;Callosotomy for epilepsy
AASJ35;Hemidecortication for epilepsy
AASJ99;Other operation for epilepsy
AASK00;Cranioplasty
AASK10;Repair of dura
AASK20;Operations for craniosynostosis
AASK30;Craniofacial reconstruction in congenital malformations
AASK40;Closure of cerebrospinal fluid fistula
AASK50;Reposition and ostheosynthesis in skull trauma
AASK60;Resection of skull lesion with reconstruction
AASK70;Biopsy of skull
AASK75;Excision of lesion of skull
AASK80;Partial excision of skull cap
AASK85;Replantation of previously excised part of skull cap
AASK99;Other operation on skull or dura
AASM00;Puncture and evacuation of intracerebral abscess
AASM10;Excision of intracerebral abscess
AASM30;Evacuation of epidural or subdural empyema
AASM99;Other operation for intracranial infection
AASN00;Excision and repair of encephalocele
AASN99;Other operation for intracranial congenital malformation
AASP00;Local transposition of muscle for facial palsy
AASP10;Cross-facial transplantation of nerve for facial palsy
AASP20;Microvascular transposition of muscle for facial palsy
AASP99;Other reconstructive operation for facial palsy
AASU00;Removal of implant or external fixation device from skull
AASW01;Implantation of intracranial stimulation device
AASW02;Implantation of intracranial injection device
AASW99;Other operation on skull or intracranial structure
AAXA00;Adjustment of electronic stimulator of intracerebral electrodes
AAXA02;Adjustment of electronic stimulator for deep brain stimulation
AAXA10;Adjustment of hydrocephalus shunt valve
AAXC00;Cerebral artery PTA
AAXC04;Temporary closure of brain artery
AAXC06;Permanent intravascular closure of brain artery
AAXC10;Intracranial endovascular arterial thrombolysis
AAXC12;Intravascular evacuation of brain artery embolus
AAXC20;Endovascular occlusion of intracranial aneurysm
AAXC22;Endovascular occlusion of intracranial arterio-venous malformation
AAXC24;Endovascular occlusion of intracranial fistula
AAXC30;Endovascular occlusion of feeding arteries of intracranial tumour
AAXC80;Selective thrombolysis of brain or orbita vein
AAXC82;Intravascular removal of venous thrombosis of brain
AAXC84;Dilatation of vein of head or brain
AAXC86;Removal of foreign body form head or neck vein
AAXC99;Other intracranial endovascular procedure
AAXX00;Puncture of fontanel
AAXX02;Selective blood sample from sinus petrosus inferior
AAXX10;Puncture of brain ventricle
ABDB1C;Cervical myelography
ABDB2C;Thoracal myelography
ABDB3C;Lumbar myelography
ABDB4L;Check-up of catheter place in spinal and epidural space
ABDB4X;Other spinal channel X-ray examination with contrast
ABDC00;Spinal flebography
ABDE4A;Spinal ultrasonography
ABFA10;Intraspinal pressure measurement
ABFB00;Endoscopic intraspinal investigation
ABFB10;Diagnostic blockage of nerve roots
ABO001;Preoperative radiotherapy of spinal cord or medulla oblongata
ABO002;Radical radiotherapy of spinal cord or medulla oblongata
ABO003;Adjuvant radiotherapy of spinal cord or medulla oblongata
ABO004;Palliative radiotherapy of spinal cord or medulla oblongata
ABO029;Radiotherapy of local residive tumor of spinal cord or medulla oblongata
ABO049;Radiotherapy of metasthasis in spinal cord or medulla oblongata
ABO090;Profylactic radiotherapy of spinal cord or medulla oblongata
ABO099;Other radiotherapy of spinal cord or medulla oblongata
ABSA00;Exploratory laminectomy
ABSA10;Biopsy of lesion of spinal canal
ABSA20;Intrathecal endoscopy
ABSA30;Epiduroscopy
ABSA99;Other diagnostic operation on spinal cord or nerve root
ABSB00;Excision of lesion of spinal canal
ABSB02;Excision of lesion of nerve root
ABSB06;Percutaneous destruction of lesion of nerve root
ABSB10;Resection of lesion of spinal canal
ABSB20;Drainage of intra- or extramedullary cyst of spinal canal
ABSB30;Destruction of lesion of spinal canal
ABSB40;Evacuation of spontaneous haematoma of spinal canal
ABSB99;Other operation for lesion of spinal canal
ABSC01;Percutaneous endoscopic discectomy for cervical intervertebral disc displacement
ABSC04;Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement
ABSC07;Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement
ABSC10;Microsurgical excision of cervical intervertebral disc displacement
ABSC13;Microsurgical excision of thoracic intervertebral disc displacement
ABSC16;Microsurgical excision of lumbar intervertebral disc displacement
ABSC20;Open discectomy of cervical spine
ABSC21;Anterior decompression of cervical spine with insertion of interbody fixating implant
ABSC23;Open discectomy of thoracic spine
ABSC26;Open discectomy of lumbar spine
ABSC28;Insertion of expanding implant between spinous processes
ABSC30;Decompression of cervical nerve roots
ABSC33;Decompression of thoracic nerve roots
ABSC36;Decompression of lumbar nerve roots
ABSC40;Decompression of cauda equina
ABSC50;Decompression of cervical spinal canal and nerve roots
ABSC53;Decompression of thoracic spinal canal and nerve roots
ABSC56;Decompression of lumbar spinal canal and nerve roots
ABSC60;Decompression of cervical spinal cord
ABSC63;Decompression of thoracic spinal cord
ABSC66;Decompression of lumbar spinal cord
ABSC99;Other decompressive operation on spinal cord or nerve root
ABSD10;Open cordotomy
ABSD15;Percutaneous cordotomy
ABSD20;Myelotomy
ABSD30;Implantation of spinal stimulation device
ABSD40;Implantation of spinal injection device
ABSD50;Transection of spinal nerve root for pain or impaired function
ABSD99;Other operation on spinal cord or nerve for pain or impaired function
ABSE10;Excision and repair of myelocele or meningocele
ABSE20;Mobilisation of tethered cord or diastematomyelia
ABSE30;Excision of dermal sinus
ABSE40;Operation for hydromyelia
ABSE50;Occipitocervical decompression
ABSE99;Other operation for spinal malformation
ABSW99;Other operation on spinal cord or nerve root
ABX000;Lumbar puncture
ABX002;Liquor puncture in the neck
ABX006;Catheterisation of cerebrospinal fluid through skin
ABX007;Insertion intracisternal catheter
ABX008;Dynamic cerebrospinal fluid pressure measurement
ABX010;Epidural puncture
ABX011;Insertion of epidural catheter
ABX012;Stopping epidural fluid escape with coagulated blood
ABX014;Implantation of epidural injection gate
ABX026;Exchange of cerebrospinal catheter
ABX028;Removal or other procedure on spinal or epidural catheter
ABX100;Blockade of spinal nerve root
ABXA00;Adjustment of spinal electric stimulator
ACFA00;Electroneuromyography (ENMG), 1-4 muscles or nerve segments
ACFA02;Electroneuromyography (ENMG), one limb or one problem
ACFA04;Electroneuromyography (ENMG), more than one limb or problem
ACFA10;Electroneuromyography (ENMG), special technique
ACFA20;Electroneurography (ENG), one problem
ACFA22;Electroneurography (ENG), special technique or more than one problem
ACFA24;Electroneurography (ENG) with special electrodes
ACFA30;Electroneurography (ENG) with repeated stimulation
ACFA50;Electromyography (EMG)
ACFB00;Thermal sensitivity threshold
ACFB10;Touch sensitivity threshold
ACFB20;Vibration sensitivity threshold
ACFB80;Combined sensitivity threshold
ACFB90;Other sensoric testing
ACFC00;Bulbocavernosus-reflex examination
ACFC10;Masseter-reflex examination
ACFC20;Blink-reflex examination
ACFC22;Blink-reflex habituation
ACFC50;H-reflex test (electricallly elicitated monosynaptic reflex)
ACFC90;Other reflex examination
ACFD00;Cardiovascular reflex examination
ACFD02;Cardiovascular reflex examination with bloodpressure provocation
ACFD20;Symphathic skin reflex test
ACFT00;Diagnostic test for myasthenia with Tensilon
ACO001;Preoperative radiotherapy of peripheral nerves
ACO002;Radical radiotherapy of peripheral nerves
ACO003;Adjuvant radiotherapy of peripheral nerves
ACO004;Palliative radiotherapy of peripheral nerves
ACO029;Radiotherapy of local residive tumor of peripheral nerves
ACO049;Radiotherapy of metasthasis in peripheral nerves
ACO090;Profylactic radiotherapy of peripheral nerves
ACO099;Other radiotherapy of peripheral nerves
ACSA11;"Exploration of peripheral nerve; median"
ACSA12;"Exploration of peripheral nerve; radial"
ACSA13;"Exploration of peripheral nerve; ulnar"
ACSA14;"Exploration of peripheral nerve; peroneal"
ACSA15;"Exploration of peripheral nerve; tibial"
ACSA16;"Exploration of peripheral nerve; sciatic"
ACSA17;"Exploration of peripheral nerve; lumbar plexus"
ACSA18;"Exploration of peripheral nerve; brachial plexus"
ACSA19;"Exploration of peripheral nerve; other or unspecified"
ACSA21;"Biopsy of peripheral nerve; median"
ACSA22;"Biopsy of peripheral nerve; radial"
ACSA23;"Biopsy of peripheral nerve; ulnar"
ACSA24;"Biopsy of peripheral nerve; peroneal"
ACSA25;"Biopsy of peripheral nerve; tibial"
ACSA26;"Biopsy of peripheral nerve; sciatic"
ACSA27;"Biopsy of peripheral nerve; lumbar plexus"
ACSA28;"Biopsy of peripheral nerve; brachial plexus"
ACSA29;"Biopsy of peripheral nerve; other or unspecified"
ACSA91;"Other diagnostic operation on peripheral nerve; median"
ACSA92;"Other diagnostic operation on peripheral nerve; radial"
ACSA93;"Other diagnostic operation on peripheral nerve; ulnar"
ACSA94;"Other diagnostic operation on peripheral nerve; peroneal"
ACSA95;"Other diagnostic operation on peripheral nerve; tibial"
ACSA96;"Other diagnostic operation on peripheral nerve; sciatic"
ACSA97;"Other diagnostic operation on peripheral nerve; lumbar plexus"
ACSA98;"Other diagnostic operation on peripheral nerve; brachial plexus"
ACSA99;"Other diagnostic operation on peripheral nerve; other or unspecified"
ACSB11;"Excision of lesion of peripheral nerve; median"
ACSB12;"Excision of lesion of peripheral nerve; radial"
ACSB13;"Excision of lesion of peripheral nerve; ulnar"
ACSB14;"Excision of lesion of peripheral nerve; peroneal"
ACSB15;"Excision of lesion of peripheral nerve; tibial"
ACSB16;"Excision of lesion of peripheral nerve; sciatic"
ACSB17;"Excision of lesion of peripheral nerve; lumbar plexus"
ACSB18;"Excision of lesion of peripheral nerve; brachial plexus"
ACSB19;"Excision of lesion of peripheral nerve; other or unspecified"
ACSB21;"Suture of peripheral nerve; median"
ACSB22;"Suture of peripheral nerve; radial"
ACSB23;"Suture of peripheral nerve; ulnar"
ACSB24;"Suture of peripheral nerve; peroneal"
ACSB25;"Suture of peripheral nerve; tibial"
ACSB26;"Suture of peripheral nerve; sciatic"
ACSB27;"Suture of peripheral nerve; lumbar plexus"
ACSB28;"Suture of peripheral nerve; brachial plexus"
ACSB29;"Suture of peripheral nerve; other or unspecified"
ACSB91;"Other operation for lesion of peripheral nerve; median"
ACSB92;"Other operation for lesion of peripheral nerve; radial"
ACSB93;"Other operation for lesion of peripheral nerve; ulnar"
ACSB94;"Other operation for lesion of peripheral nerve; peroneal"
ACSB95;"Other operation for lesion of peripheral nerve; tibial"
ACSB96;"Other operation for lesion of peripheral nerve; sciatic"
ACSB97;"Other operation for lesion of peripheral nerve; lumbar plexus"
ACSB98;"Other operation for lesion of peripheral nerve; brachial plexus"
ACSB99;"Other operation for lesion of peripheral nerve; other or unspecified"
ACSC11;"Transcision of peripheral nerve; median"
ACSC12;"Transcision of peripheral nerve; radial"
ACSC13;"Transcision of peripheral nerve; ulnar"
ACSC14;"Transcision of peripheral nerve; peroneal"
ACSC15;"Transcision of peripheral nerve; tibial"
ACSC16;"Transcision of peripheral nerve; sciatic"
ACSC17;"Transcision of peripheral nerve; lumbar plexus"
ACSC18;"Transcision of peripheral nerve; brachial plexus"
ACSC19;"Transcision of peripheral nerve; other or unspecified"
ACSC21;"Reconstruction of peripheral nerve; median"
ACSC22;"Reconstruction of peripheral nerve; radial"
ACSC23;"Reconstruction of peripheral nerve; ulnar"
ACSC24;"Reconstruction of peripheral nerve; peroneal"
ACSC25;"Reconstruction of peripheral nerve; tibial"
ACSC26;"Reconstruction of peripheral nerve; sciatic"
ACSC27;"Reconstruction of peripheral nerve; lumbar plexus"
ACSC28;"Reconstruction of peripheral nerve; brachial plexus"
ACSC29;"Reconstruction of peripheral nerve; other or unspecified"
ACSC41;"Transposition of peripheral nerve; median"
ACSC42;"Transposition of peripheral nerve; radial"
ACSC43;"Transposition of peripheral nerve; ulnar"
ACSC44;"Transposition of peripheral nerve; peroneal"
ACSC45;"Transposition of peripheral nerve; tibial"
ACSC46;"Transposition of peripheral nerve; sciatic"
ACSC47;"Transposition of peripheral nerve; lumbar plexus"
ACSC48;"Transposition of peripheral nerve; brachial plexus"
ACSC49;"Transposition of peripheral nerve; other or unspecified"
ACSC51;"Decompression and freeing of adhesions of peripheral nerve; median"
ACSC52;"Decompression and freeing of adhesions of peripheral nerve; radial"
ACSC53;"Decompression and freeing of adhesions of peripheral nerve; ulnar"
ACSC54;"Decompression and freeing of adhesions of peripheral nerve; peroneal"
