Code;text;Note
AAA00;Eksplorativa kraniotomija;
AAA10;Kraniotomija ar biopsiju; (Stereotaktiska intrakraniala biopsija, skat.: AAG 00)
AAA20;Intraventrikulara spiediena merisanas ierices ievadisana;
AAA25;Epidurala spiediena merisanas iekartas ievadisana;
AAA27;Intracerebrala spiediena merisanas iekartas ievadisana;
AAA30;Epiduralo elektrodu ievadisana;
AAA35;Subduralo elektrodu ievadisana;
AAA40;Intracerebralo elektrodu ievadisana;
AAA50;Intrakraniala endoskopija;
AAA99;Citas diagnostiskas intrakranialas manipulacijas;
AAAA00;EEG noverojums ar arpus galvaskausa ievietotajiem elektrodiem;Ieskaitot video uznemsanu
AAAA05;EEG noverojums ar galvaskausa ieksa ievietotajiem elektrodiem;Ieskaitot video uznemsanu
AAB00;Intrakraniala bojajuma ekstirpacija;
AAB10;Intrakraniala bojajuma daleja ekscizija;
AAB20;Intrakraniala bojajuma destrukcija;
AAB30;Spontana intrakraniala asinsizpluduma evakuacja;
AAB99;Cita veida intrakraniala bojajuma ekscizija vai destrukcija;
AAC00;Intrakranialas aneirismas nosiesana ;(Izmantojot atsperskavas (klipsus) vai lidzigas ierices)
AAC05;Intrakranialas aneirismas pievadosas arterijas nosiesana;
AAC10;Intrakranialas aneirismas sieninas nostiprinasana;
AAC15;Intrakranialas aneirismas nosiesana proksimalaja un distalaja gala (trapping);
AAC20;Intrakranialo asinsvadu anastomozes izveidosana;
AAC30;Asinsvadu fistulas intrakraniala slegsana;
AAC40;Intrakranialas arteriovenozas malformacijas ekstripacija;
AAC99;Cita veida operacija intrakranialo aneirismu un citu asinsvadu bojajumu del;
AAD00;Epiduralas hematomas evakuacija;
AAD05;Akutas subduralas hematomas evakuacija;
AAD10;Hroniskas subduralas hematomas evakuacija;
AAD15;Traumatiskas intracerebralas hematomas evakuacija;
AAD30;Penetrejosa vai perforejosa galvaskausa ievainojuma revizija;
AAD40;Galvaskausa luzuma revizija; Jaieklauj: Iespiests galvaskausa luzums
AAD99;Cita veida operacija galvas traumas del;
AADE00;Galvas smadzenu ultrasonografija, duplekss pec nepieciesamibas, bez kontrasta vielas;
AADE02;Galvas smadzenu ultrasonografija, duplekss pec nepieciesamibas, bez kontrasta vielas;
AAE00;Transsfenoidala eksplorativa izmeklesana;
AAE10;Transsfenoidala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE20;Transorala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE25;Transcervikala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE30;Translabirintala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE40;Transtemporala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE50;Zigomatikotemporala intrakraniala bojajuma pilniga vai daleja ekscizija;
AAE99;Cita veida operacija ar pieeju no galvaskausa pamatnes;
AAF00;Ventrikulostomija; (Smadzenu vederina areja drenaza)
