Code	text	Original code	1.	2.	3.	4.	5.	6.		
A	Nervu sistema	A	A							
AA	Galvaskauss un intrakranialas strukturas	AA	A	A						
AAA	Diagnostiskas intrakranialas manipulacijas	AAA	A	A	A					
AAA00	Eksplorativa kraniotomija	AAA 00	A	A	A	 	0	0	AAA	00
AAA10	Kraniotomija ar biopsiju	AAA 10	A	A	A	 	1	0	AAA	10
AAA20	Intraventrikulara spiediena merisanas ierices ievadisana	AAA 20	A	A	A	 	2	0	AAA	20
AAA25	Epidurala spiediena merisanas iekartas ievadisana	AAA 25	A	A	A	 	2	5	AAA	25
AAA27	Intracerebrala spiediena merisanas iekartas ievadisana	AAA 27	A	A	A	 	2	7	AAA	27
AAA30	Epiduralo elektrodu ievadisana	AAA 30	A	A	A	 	3	0	AAA	30
AAA35	Subduralo elektrodu ievadisana	AAA 35	A	A	A	 	3	5	AAA	35
AAA40	Intracerebralo elektrodu ievadisana	AAA 40	A	A	A	 	4	0	AAA	40
AAA50	Intrakraniala endoskopija	AAA 50	A	A	A	 	5	0	AAA	50
AAA99	Citas diagnostiskas intrakranialas manipulacijas	AAA 99	A	A	A	 	9	9	AAA	99
AAB	Intrakraniala bojajuma ekscizija un destrukcija	AAB	A	A	B					
AAB00	Intrakraniala bojajuma ekstirpacija	AAB 00	A	A	B	 	0	0	AAB	00
AAB10	Intrakraniala bojajuma daleja ekscizija	AAB 10	A	A	B	 	1	0	AAB	10
AAB20	Intrakraniala bojajuma destrukcija	AAB 20	A	A	B	 	2	0	AAB	20
AAB30	Spontana intrakraniala asinsizpluduma evakuacja	AAB 30	A	A	B	 	3	0	AAB	30
AAB99	Cita veida intrakraniala bojajuma ekscizija vai destrukcija	AAB 99	A	A	B	 	9	9	AAB	99
AAC	Intrakranialo aneirismu un citu asinsvadu bojajumu operacijas	AAC	A	A	C					
AAC00	Intrakranialas aneirismas nosiesana	AAC 00	A	A	C	 	0	0	AAC	00
AAC05	Intrakranialas aneirismas pievadosas arterijas nosiesana	AAC 05	A	A	C	 	0	5	AAC	05
AAC10	Intrakranialas aneirismas sieninas nostiprinasana	AAC 10	A	A	C	 	1	0	AAC	10
AAC15	Intrakranialas aneirismas nosiesana proksimalaja un distalaja gala (trapping)	AAC 15	A	A	C	 	1	5	AAC	15
AAC20	Intrakranialo asinsvadu anastomozes izveidosana	AAC 20	A	A	C	 	2	0	AAC	20
AAC30	Asinsvadu fistulas intrakraniala slegsana	AAC 30	A	A	C	 	3	0	AAC	30
AAC40	Intrakranialas arteriovenozas malformacijas ekstripacija	AAC 40	A	A	C	 	4	0	AAC	40
AAC99	Cita veida operacija intrakranialo aneirismu un citu asinsvadu bojajumu del	AAC 99	A	A	C	 	9	9	AAC	99
AAD	Operacijas galvas traumas del	AAD	A	A	D					
AAD00	Epiduralas hematomas evakuacija	AAD 00	A	A	D	 	0	0	AAD	00
AAD05	Akutas subduralas hematomas evakuacija	AAD 05	A	A	D	 	0	5	AAD	05
AAD10	Hroniskas subduralas hematomas evakuacija	AAD 10	A	A	D	 	1	0	AAD	10
AAD15	Traumatiskas intracerebralas hematomas evakuacija	AAD 15	A	A	D	 	1	5	AAD	15
AAD30	Penetrejosa vai perforejosa galvaskausa ievainojuma revizija	AAD 30	A	A	D	 	3	0	AAD	30
AAD40	Galvaskausa luzuma revizija	AAD 40	A	A	D	 	4	0	AAD	40
AAD99	Cita veida operacija galvas traumas del	AAD 99	A	A	D	 	9	9	AAD	99
AAE	Operacijas ar pieeju no galvaskausa pamatnes	AAE	A	A	E					
AAE00	Transsfenoidala eksplorativa izmeklesana	AAE 00	A	A	E	 	0	0	AAE	00
AAE10	Transsfenoidala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 10	A	A	E	 	1	0	AAE	10
AAE20	Transorala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 20	A	A	E	 	2	0	AAE	20
AAE25	Transcervikala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 25	A	A	E	 	2	5	AAE	25
AAE30	Translabirintala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 30	A	A	E	 	3	0	AAE	30
AAE40	Transtemporala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 40	A	A	E	 	4	0	AAE	40
AAE50	Zigomatikotemporala intrakraniala bojajuma pilniga vai daleja ekscizija	AAE 50	A	A	E	 	5	0	AAE	50
AAE99	Cita veida operacija ar pieeju no galvaskausa pamatnes	AAE 99	A	A	E	 	9	9	AAE	99
AAF	Smadzenu vederinu vai intracerebralu cistu suntesanas operacijas	AAF	A	A	F					
AAF00	Ventrikulostomija	AAF 00	A	A	F	 	0	0	AAF	00
AAF05	Ventrikuloperitoneala suntesana	AAF 05	A	A	F	 	0	5	AAF	05
AAF10	Lumboperitoneala suntesana	AAF 10	A	A	F	 	1	0	AAF	10
AAF15	Ventrikuloatriala suntesana	AAF 15	A	A	F	 	1	5	AAF	15
AAF20	Smadzenu vederina sunta revizija 	AAF 20	A	A	F	 	2	0	AAF	20
AAF25	Smadzenu vederina sunta iznemsana	AAF 25	A	A	F	 	2	5	AAF	25
AAF30	Intraventrikularas injekcijas ierices implantacija	AAF 30	A	A	F	 	3	0	AAF	30
AAF35	Intraventrikularas terapijas rezervuara implantacija	AAF 35	A	A	F	 	3	5	AAF	35
