Code Type;Year;Code;Code Text;Change from 2012 to 2013?
NCMP;2013;AAAA00;"	EEG overvÜking med ekstrakranielle elektroder";
NCMP;2013;AAAA05;"	EEG overvÜking med intrakranielle elektroder";
NCMP;2013;AAAA10;"	Corticografi";
NCMP;2013;AAAA20;"	Peroperativ overvÜking med fremkalte responser";
NCMP;2013;AADE00;"	Cerebral ultralyd avbildning, ev. dupleks, uten kontrast";
NCMP;2013;AADE02;"	Cerebral ultralyd avbildning, ev. dupleks, med kontrast";
NCMP;2013;AAFE00;"	Standard elektroencefalografi (EEG)";
NCMP;2013;AAFE05;"	Sõvndeprivert EEG";
NCMP;2013;AAFE10;"	EEG langtidsregistrering";
NCMP;2013;AAFE15;"	EEG med sfenoidal- eller epifarynkselektroder";
NCMP;2013;AAFE20;"	EEG med reaksjonstidsmÜling";
NCMP;2013;AAFE22;"	EEG med amylaltest";
NCMP;2013;AAFE25;"	Kvantitativ EEG analyse";
NCMP;2013;AAFE30;"	Cerebral funksjonsmonitorering ved EEG";
NCMP;2013;AAFE60;"	Peroperativ mÜlsõking ved dyp hjernestimulering";
NCMP;2013;AAFE80;"	Visuelt fremkalt potensial (VEP)";
NCMP;2013;AAFE82;"	Elektroretinografi (ERG)";
NCMP;2013;AAFE85;"	Elektrisk respons audiometri";
NCMP;2013;AAFE87;"	Transtympanal hjernestammeaudiometri";
NCMP;2013;AAFE89;"	Sensorisk fremkalt potensial (SEP) IKA";
NCMP;2013;AAFF00;"	Transkraniell Doppler (TCD), enkel";
NCMP;2013;AAFF05;"	Transkraniell Doppler (TCD), fullstendig";
NCMP;2013;AAFF10;"	TCD med intravenõs kontrast";
NCMP;2013;AAFM00;"	Kontinuerlig mÜling av intracerebralt trykk";
NCMP;2013;AAFX00;"	Polygrafisk monitorering av respiratoriske parametre (polygrafi)";
NCMP;2013;AAFX05;"	Polysomnografi (PSG) uten respiratoriske parametre";
NCMP;2013;AAFX10;"	Polysomnografi (PSG) med respiratoriske parametre";
NCMP;2013;AAFX20;"	Multippel sõvnlatenstest med minst Ütte parametre under sõvn";
NCMP;2013;AAGB00;"	Transkraniell magnetisk stimulering (TMS)";
NCMP;2013;AAGB10;"	Funksjonell stimulering med intrakranielle EEG elektroder";
NCMP;2013;AAGT00;"	Innstilling av elektrisk stimulator med intracerebrale elektroder";
NCMP;2013;AAGT05;"	Innstilling av elektrisk stimulator for dyp hjernestimulering";
NCMP;2013;AAGT10;"	Innstilling av hydrocefalusshunt";
NCMP;2013;ABEX00;"	Endoskopisk intraspinal undersõkelse";
NCMP;2013;ABFX00;"	Lumbalpunksjon med infusjonstest";
NCMP;2013;ABFX05;"	Spinal tappetest";
NCMP;2013;ABFX10;"	Bulbocavernõs reflekstest";
NCMP;2013;ABGB00;"	Magnetisk stimulering av nerverõtter eller pleksus";
NCMP;2013;ABGC10;"	Innlegging av epiduralkateter";
NCMP;2013;ABGC11;"	Innlegging av epiduralkateter med subkutan injeksjonsport";
NCMP;2013;ABGC12;"	Innlegging av spinalkateter";
NCMP;2013;ABGC13;"	Innlegging av spinalkateter med subkutan injeksjonsport";
NCMP;2013;ABGT00;"	Innstilling/kontroll av elektrisk stimulator, ryggmarg";
NCMP;2013;ABGT05;"	Kontroll/omlegging ved epidural eller intradural smertebehandling";
NCMP;2013;ABGX00;"	Epidural blodlapp";
NCMP;2013;ACFE00;"	Sensorisk nevrografi med nÜlelektrode";
NCMP;2013;ACFE05;"	Sensorisk nevrografi med overflateelektrode";
NCMP;2013;ACFE10;"	Motorisk nevrografi med nÜlelektrode";
NCMP;2013;ACFE15;"	Motorisk nevrografi med overflateelektrode";
NCMP;2013;ACFE20;"	Motorisk inchingundersõkelse";
NCMP;2013;ACFE25;"	Nevrografi med repetitiv nervestimulering";
NCMP;2013;ACFE30;"	Blinkrefleks nevrografi";
NCMP;2013;ACFE39;"	Motorisk og sensorisk elektronevrografi IKA";
NCMP;2013;ACFE99;"	Elektrofysiologisk registrerte reflekser IKA";
NCMP;2013;ACFX05;"	Termotest";
NCMP;2013;ACFX10;"	H-refleks";
NCMP;2013;ACFX15;"	Vibrametri";
NCMP;2013;ACGB59;"	Transkutan nervestimulering INA";
NCMP;2013;ACGB69;"	Direkte nervestimulering INA";
NCMP;2013;ACGB89;"	Intrakutan nervestimulering INA";
NCMP;2013;ACGX90;"	Lokal injeksjon av nevrotoksisk substans";
NCMP;2013;ACGX99;"	Nevrolyse IKA";
NCMP;2013;ADFX00;"	P300 eller tilsvarende kognitive responser";
NCMP;2013;ADFX05;"	Sympatisk hudresponstest";
NCMP;2013;ADFX10;"	Parasympatisk R-R respons";
NCMP;2013;ADFX15;"	Posturaltest";
NCMP;2013;ADFX20;"	Valsalvatest";
NCMP;2013;ADGB00;"	Stimulering av vagusnerven";
NCMP;2013;ADGT00;"	Innstilling av elektrisk stimulator for vagusstimulering";
NCMP;2013;ADPE00;"	Perkutan transluminal renal sympatisk denervasjon";NEW
