7408	codes in current filter							
Code	Text	1.	2.	3.	4.	5.	6.	7.
AAA00	Eksplorativ kraniotomi	A	A	A	0	0		
AAA10	Biopsi via kraniotomi	A	A	A	1	0		
AAA20	Innlegging av intraventrikulær trykkmåler	A	A	A	2	0		
AAA25	Innlegging av epidural trykkmåler	A	A	A	2	5		
AAA27	Innlegging av intracerebral trykkmåler	A	A	A	2	7		
AAA30	Innlegging av epidural elektrode	A	A	A	3	0		
AAA35	Innlegging av subdural elektrode	A	A	A	3	5		
AAA40	Innlegging av intracerebral elektrode	A	A	A	4	0		
AAA99	Annet diagnostisk intrakranielt inngrep	A	A	A	9	9		
AAB00	Ekstirpasjon av intrakraniell lesjon	A	A	B	0	0		
AAB10	Reseksjon av intrakraniell lesjon	A	A	B	1	0		
AAB20	Destruksjon av intrakraniell lesjon	A	A	B	2	0		
AAB30	Evakuering av spontant intrakranielt hematom	A	A	B	3	0		
AAB99	Annen eksisjon eller destruksjon av intrakraniell lesjon	A	A	B	9	9		
AAC00	Ligatur av intrakranielt aneurisme	A	A	C	0	0		
AAC05	Proksimal ligatur av intrakranielt aneurisme	A	A	C	0	5		
AAC10	Forsterkning av intrakraniell aneurismevegg	A	A	C	1	0		
AAC15	Trapping av intrakranielt aneurisme	A	A	C	1	5		
AAC20	Intrakraniell karanastomose	A	A	C	2	0		
AAC30	Intrakraniell okklusjon av karfistel	A	A	C	3	0		
AAC40	Ekstirpasjon av intrakraniell arteriovenøs malformasjon	A	A	C	4	0		
AAC99	Annen operasjon for intrakraniell vaskulær lesjon	A	A	C	9	9		
AAD00	Evakuering av epiduralt hematom	A	A	D	0	0		
AAD05	Evakuering av akutt subduralt hematom	A	A	D	0	5		
AAD10	Evakuering av kronisk subduralt hematom	A	A	D	1	0		
AAD15	Evakuering av intracerebral traumatisk lesjon	A	A	D	1	5		
AAD30	Revisjon av penetrerende kranieskade	A	A	D	3	0		
AAD40	Revisjon av kraniefraktur	A	A	D	4	0		
AAD99	Annen operasjon for hodeskade	A	A	D	9	9		
AAE00	Transsfenoidal eksplorasjon	A	A	E	0	0		
AAE10	Transsfenoidal ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	1	0		
AAE20	Transoral ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	2	0		
AAE25	Transcervikal ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	2	5		
AAE30	Translabyrintær ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	3	0		
AAE40	Transtemporal ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	4	0		
AAE50	Zygomaticotemporal ekstirpasjon eller reseksjon av intrakraniell lesjon	A	A	E	5	0		
AAE99	Annen operasjon på skallebasis	A	A	E	9	9		
AAF00	Ventrikulostomi	A	A	F	0	0		
AAF02	Ekstern drenasje av hjerneventrikkel	A	A	F	0	2		
AAF05	Ventrikuloperitoneal shunt	A	A	F	0	5		
AAF10	Lumboperitoneal shunt	A	A	F	1	0		
AAF15	Ventrikuloatrial shunt	A	A	F	1	5		
AAF20	Revisjon av shunt fra hjerneventrikkel	A	A	F	2	0		
AAF25	Fjerning av shunt fra hjerneventrikkel	A	A	F	2	5		
AAF30	Implantasjon av intraventrikulært injeksjonsutstyr	A	A	F	3	0		
AAF35	Implantasjon av reservoar for intraventrikulær behandling	A	A	F	3	5		
AAF40	Shunt av intrakraniell cyste til peritoneum	A	A	F	4	0		
AAF45	Fenestrasjon av intrakraniell cyste	A	A	F	4	5		
AAF99	Annen shuntoperasjon på hjerneventrikkel eller intrakraniell cyste	A	A	F	9	9		
AAG00	Stereotaktisk intrakraniell biopsi	A	A	G	0	0		
AAG10	Stereotaktisk intrakraniell destruksjon av kjerne eller nervebane	A	A	G	1	0		
AAG20	Stereotaktisk intrakraniell implantasjon av elektrode	A	A	G	2	0		
AAG30	Stereotaktisk intrakraniell implantasjon av radioaktiv substans	A	A	G	3	0		
AAG40	Stereotaktisk intrakraniell implantasjon av fostervev	A	A	G	4	0		
AAG50	Stereotaktisk intrakraniell strålebehandling	A	A	G	5	0		
AAG99	Annet stereotaktisk intrakranielt inngrep	A	A	G	9	9		
AAH10	Rhizotomi av hjernenerve	A	A	H	1	0		
AAH20	Dekompresjon av hjernenerve	A	A	H	2	0		
AAH30	Termisk destruksjon av hjernenerve	A	A	H	3	0		
AAH40	Injeksjon i hjernenerve	A	A	H	4	0		
AAH50	Anastomose av hjernenerve	A	A	H	5	0		
AAH60	Mikrovaskulær dekompresjon av hjernenerve	A	A	H	6	0		
AAH99	Annen operasjon på hjernenerve	A	A	H	9	9		
AAJ00	Hemisfærektomi	A	A	J	0	0		
AAJ10	Lobektomi for epilepsi	A	A	J	1	0		
AAJ15	Hippocampektomi	A	A	J	1	5		
AAJ20	Eksisjon av epileptisk fokus	A	A	J	2	0		
AAJ25	Overskjæring av nervebane for epilepsi	A	A	J	2	5		
AAJ30	Callosotomi for epilepsi	A	A	J	3	0		
AAJ35	Hemidekortikasjon for epilepsi	A	A	J	3	5		
AAJ99	Annen operasjon for epilepsi	A	A	J	9	9		
AAK00	Kranieplastikk	A	A	K	0	0		
AAK10	Duraplastikk	A	A	K	1	0		
AAK20	Operasjon for kraniosynostose	A	A	K	2	0		
AAK30	Kraniofacial rekonstruksjon ved medfødt misdannelse	A	A	K	3	0		
AAK40	Lukking av cerebrospinal likvorfistel	A	A	K	4	0		
AAK70	Beinbiopsi av kranium	A	A	K	7	0		
AAK75	Ekstirpasjon eller reseksjon av beintumor i kranium	A	A	K	7	5		
AAK99	Annen operasjon på kranium eller dura	A	A	K	9	9		
AAL00	Endovaskulær okklusjon av intrakranielt aneurisme	A	A	L	0	0		
AAL10	Intrakraniell endovaskulær trombolyse	A	A	L	1	0		
AAL20	Endovaskulær okklusjon av intrakraniell arteriovenøs malformasjon	A	A	L	2	0		
AAL30	Endovaskulær okklusjon av intrakraniell fistel	A	A	L	3	0		
AAL40	Endovaskulær okklusjon av arterie til intrakraniell tumor	A	A	L	4	0		
AAL99	Annet intrakranielt endovaskulært inngrep	A	A	L	9	9		
AAM00	Punksjon og evakuering av intracerebral abscess	A	A	M	0	0		
AAM10	Eksisjon av intracerebral abscess	A	A	M	1	0		
AAM30	Evakuering av epiduralt eller subduralt empyem	A	A	M	3	0		
AAM99	Annen operasjon for intrakraniell infeksjon	A	A	M	9	9		
AAN00	Eksisjon og rekonstruksjon av encefalocele	A	A	N	0	0		
AAN99	Annen operasjon for intrakraniell medfødt misdannelse	A	A	N	9	9		
AAU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra kranium	A	A	U	0	0		
AAW01	Implantasjon av intrakraniell stimulator	A	A	W	0	1		
AAW02	Implantasjon av intrakranielt injeksjonsutstyr	A	A	W	0	2		
AAW99	Annen operasjon på kranium eller intrakraniell struktur	A	A	W	9	9		
ABA00	Eksplorativ laminektomi	A	B	A	0	0		
ABA10	Biopsi av lesjon i spinalkanalen	A	B	A	1	0		
ABA99	Annen diagnostisk operasjon på ryggmarg eller nerverot	A	B	A	9	9		
ABB00	Ekstirpasjon av lesjon i spinalkanalen	A	B	B	0	0		
ABB10	Reseksjon av lesjon i spinalkanalen	A	B	B	1	0		
ABB20	Drenasje av cyste i ryggmarg eller spinalkanal	A	B	B	2	0		
ABB30	Destruksjon av lesjon i spinalkanalen	A	B	B	3	0		
ABB40	Evakuering av spontant hematom i spinalkanalen	A	B	B	4	0		
ABB99	Annen operasjon for lesjon i spinalkanalen	A	B	B	9	9		
ABC01	Perkutan endoskopisk diskektomi for cervikalt skiveprolaps	A	B	C	0	1		
ABC04	Perkutan endoskopisk diskektomi for torakalt skiveprolaps	A	B	C	0	4		
ABC07	Perkutan endoskopisk diskektomi for lumbalt skiveprolaps	A	B	C	0	7		
ABC10	Mikrokirurgisk ekstirpasjon av cervikalt skiveprolaps	A	B	C	1	0		
ABC13	Mikrokirurgisk ekstirpasjon av torakalt skiveprolaps	A	B	C	1	3		
ABC16	Mikrokirurgisk ekstirpasjon av lumbalt skiveprolaps	A	B	C	1	6		
ABC20	Diskektomi i cervikalkolumna	A	B	C	2	0		
ABC23	Diskektomi i torakalkolumna	A	B	C	2	3		
ABC26	Diskektomi i lumbalkolumna	A	B	C	2	6		
ABC30	Dekompresjon av nerverøtter i cervikalkolumna	A	B	C	3	0		
ABC33	Dekompresjon av nerverøtter i torakalkolumna	A	B	C	3	3		
ABC36	Dekompresjon av nerverøtter i lumbalkolumna	A	B	C	3	6		
ABC40	Dekompresjon av cauda equina i sacrum	A	B	C	4	0		
ABC50	Dekompresjon av spinalkanal og nerverøtter i cervikalkolumna	A	B	C	5	0		
ABC53	Dekompresjon av spinalkanal og nerverøtter itorakalkolumna	A	B	C	5	3		
ABC56	Dekompresjon av spinalkanal og nerverøtter i lumbalkolumna	A	B	C	5	6		
ABC60	Dekompresjon av cervikalmarg	A	B	C	6	0		
ABC63	Dekompresjon av torakalmarg	A	B	C	6	3		
ABC66	Dekompresjon av lumbalmarg	A	B	C	6	6		
ABC99	Annen dekompresjon av ryggmarg eller nerverot	A	B	C	9	9		
ABD10	Chordotomi	A	B	D	1	0		
ABD20	Myelotomi	A	B	D	2	0		
ABD30	Implantasjon av spinal stimulator	A	B	D	3	0		
ABD40	Implantasjon av spinalt injeksjonsutstyr	A	B	D	4	0		
ABD50	Rhizotomi av spinalnerve for smerte eller funksjonsforstyrrelse	A	B	D	5	0		
ABD99	Annen operasjon på ryggmarg eller nerverot for smerte eller funksjonsforstyrrelse	A	B	D	9	9		
ABE10	Operasjon for myelo- eller meningocele	A	B	E	1	0		
ABE20	Løsning av tethered cord eller diastematomyeli	A	B	E	2	0		
ABE30	Eksisjon av dermalsinus	A	B	E	3	0		
ABE40	Operasjon for hydromyeli	A	B	E	4	0		
ABE50	Oksipitocervikal dekompresjon	A	B	E	5	0		
ABE99	Annen operasjon for medfødt spinal misdannelse	A	B	E	9	9		
ABW99	Annen operasjon på spinalkanal, ryggmarg eller nerverot	A	B	W	9	9		
ACA11	Eksplorasjon av nervus medianus	A	C	A	1	1		
ACA12	Eksplorasjon av nervus radialis	A	C	A	1	2		
ACA13	Eksplorasjon av nervus ulnaris	A	C	A	1	3		
ACA14	Eksplorasjon av nervus peroneus	A	C	A	1	4		
ACA15	Eksplorasjon av nervus tibialis	A	C	A	1	5		
ACA16	Eksplorasjon av nervus ischiadicus	A	C	A	1	6		
ACA17	Eksplorasjon av plexus lumbalis	A	C	A	1	7		
ACA18	Eksplorasjon av plexus brachialis	A	C	A	1	8		
ACA19	Eksplorasjon av annen eller uspesifisert nerve	A	C	A	1	9		
ACA21	Biopsi av nervus medianus	A	C	A	2	1		
ACA22	Biopsi av nervus radialis	A	C	A	2	2		
ACA23	Biopsi av nervus ulnaris	A	C	A	2	3		
ACA24	Biopsi av nervus peroneus	A	C	A	2	4		
ACA25	Biopsi av nervus tibialis	A	C	A	2	5		
ACA26	Biopsi av nervus ischiadicus	A	C	A	2	6		
ACA27	Biopsi av plexus lumbalis	A	C	A	2	7		
ACA28	Biopsi av plexus brachialis	A	C	A	2	8		
ACA29	Biopsi av annen eller uspesifisert nerve	A	C	A	2	9		
ACA91	Annen diagnostisk operasjon på nervus medianus	A	C	A	9	1		
ACA92	Annen diagnostisk operasjon på nervus radialis	A	C	A	9	2		
ACA93	Annen diagnostisk operasjon på nervus ulnaris	A	C	A	9	3		
ACA94	Annen diagnostisk operasjon på nervus peroneus	A	C	A	9	4		
ACA95	Annen diagnostisk operasjon på nervus tibialis	A	C	A	9	5		
ACA96	Annen diagnostisk operasjon på nervus ischiadicus	A	C	A	9	6		
ACA97	Annen diagnostisk operasjon på plexus lumbalis	A	C	A	9	7		
ACA98	Annen diagnostisk operasjon på plexus brachialis	A	C	A	9	8		
ACA99	Annen diagnostisk operasjon på annen el uspesifisert nerve	A	C	A	9	9		
ACB11	Eksisjon av lesjon i nervus medianus	A	C	B	1	1		
ACB12	Eksisjon av lesjon i nervus radialis	A	C	B	1	2		
ACB13	Eksisjon av lesjon i nervus ulnaris	A	C	B	1	3		
ACB14	Eksisjon av lesjon i nervus peroneus	A	C	B	1	4		
ACB15	Eksisjon av lesjon i nervus tibialis	A	C	B	1	5		
ACB16	Eksisjon av lesjon i nervus ischiadicus	A	C	B	1	6		
ACB17	Eksisjon av lesjon i plexus lumbalis	A	C	B	1	7		
ACB18	Eksisjon av lesjon i plexus brachialis	A	C	B	1	8		
ACB19	Eksisjon av lesjon i annen eller uspesifisert perifer nerve	A	C	B	1	9		
ACB21	Sutur av nervus medianus	A	C	B	2	1		
ACB22	Sutur av nervus radialis	A	C	B	2	2		
ACB23	Sutur av nervus ulnaris	A	C	B	2	3		
ACB24	Sutur av nervus peroneus	A	C	B	2	4		
ACB25	Sutur av nervus tibialis	A	C	B	2	5		
ACB26	Sutur av nervus ischiadicus	A	C	B	2	6		
ACB27	Sutur av plexus lumbalis	A	C	B	2	7		
ACB28	Sutur av plexus brachialis	A	C	B	2	8		
ACB29	Sutur av annen eller uspesifisert nerve	A	C	B	2	9		
ACB91	Annen operasjon for lesjon i nervus medianus	A	C	B	9	1		
ACB92	Annen operasjon for lesjon i nervus radialis	A	C	B	9	2		
ACB93	Annen operasjon for lesjon i nervus ulnaris	A	C	B	9	3		
ACB94	Annen operasjon for lesjon i nervus peroneus	A	C	B	9	4		
ACB95	Annen operasjon for lesjon i nervus tibialis	A	C	B	9	5		
ACB96	Annen operasjon for lesjon i nervus ischiadicus	A	C	B	9	6		
