AA027	Innlegging av intracerebral trykkmåler
AA125	Transcervikal ekstirp eller reseksjon av intrakran lesjon
AAA00	Eksplorativ kraniotomi
AAA10	Biopsi via kraniotomi
AAA20	Innlegging av intraventrikulær trykkmåler
AAA25	Innlegging av epidural trykkmåler
AAA30	Innlegging av epidural elektrode
AAA35	Innlegging av subdural elektrode
AAA40	Innlegging av intracerebral elektrode
AAA99	Annet diagnostisk intrakranielt inngrep
AAB00	Ekstirpasjon av intrakraniell lesjon
AAB10	Reseksjon av intrakraniell lesjon
AAB20	Destruksjon av intrakraniell lesjon
AAB30	Evakuering av spontant intrakranielt hematom
AAB99	Annen eksisjon eller destruksjon av intrakraniell lesjon
AAC00	Ligatur av intrakranielt aneurisme
AAC05	Proksimal ligatur av intrakranielt aneurisme
AAC10	Forsterkning av intrakraniell aneurismevegg
AAC15	Trapping av intrakranielt aneurisme
AAC20	Intrakraniell karanastomose
AAC30	Intrakraniell okklusjon av karfistel
AAC40	Ekstirpasjon av intrakraniell arteriovenøs malformasjon
AAC99	Annen operasjon for intrakraniell vaskulær lesjon
AAD00	Evakuering av epiduralt hematom
AAD05	Evakuering av akutt subduralt hematom
AAD10	Evakuering av kronisk subduralt hematom
AAD15	Evakuering av intracerebral traumatisk lesjon
AAD30	Revisjon av penetrerende kranieskade
AAD40	Revisjon av kraniefraktur
AAD99	Annen operasjon for hodeskade
AAE00	Transsphenoidal eksplorasjon
AAE10	Transsphenoidal ekstirp eller reseksjon av intrakran lesjon
AAE20	Transoral ekstirp eller reseksjon av intrakraniell lesjon
AAE30	Translabyrinthin ekstirp eller reseksjon av intrakran lesjon
AAE40	Transtemporal ekstirp eller reseksjon av intrakran lesjon
AAE50	Zygomaticotemporal ekstirp el reseksjon av intrakran lesjon
AAE99	Annen operasjon på skallebasis
AAF00	Ventrikulostomi
AAF02	Ekstern drenasje av hjerneventrikkel
AAF05	Ventrikuloperitoneal shunt
AAF10	Lumboperitoneal shunt
AAF15	Ventrikuloatrial shunt
AAF20	Revisjon av shunt fra hjerneventrikkel
AAF25	Fjernelse av shunt fra hjerneventrikkel
AAF30	Implantasjon av intraventrikulært injeksjonsutstyr
