AA0 27	Innlegging av intracerebral trykkmåler
AA1 25	Transcervikal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAA 00	Eksplorativ kraniotomi
AAA 10	Biopsi via kraniotomi
AAA 20	Innlegging av intraventrikulær trykkmåler
AAA 25	Innlegging av epidural trykkmåler
AAA 30	Innlegging av epidural elektrode
AAA 35	Innlegging av subdural elektrode
AAA 40	Innlegging av intracerebral elektrode
AAA 99	Annet diagnostisk intrakranielt inngrep
AAB 00	Ekstirpasjon av intrakraniell lesjon
AAB 10	Reseksjon av intrakraniell lesjon
AAB 20	Destruksjon av intrakraniell lesjon
AAB 30	Evakuering av spontant intrakranielt hematom
AAB 99	Annen eksisjon eller destruksjon av intrakraniell lesjon
AAC 00	Ligatur av intrakranielt aneurisme
AAC 05	Proksimal ligatur av intrakranielt aneurisme
AAC 10	Forsterkning av intrakraniell aneurismevegg
AAC 15	Trapping av intrakranielt aneurisme
AAC 20	Intrakraniell karanastomose
AAC 30	Intrakraniell okklusjon av karfistel
AAC 40	Ekstirpasjon av intrakraniell arteriovenøs malformasjon
AAC 99	Annen operasjon for intrakraniell vaskulær lesjon
AAD 00	Evakuering av epiduralt hematom
AAD 05	Evakuering av akutt subduralt hematom
AAD 10	Evakuering av kronisk subduralt hematom
AAD 15	Evakuering av intracerebral traumatisk lesjon
AAD 30	Revisjon av penetrerende kranieskade
AAD 40	Revisjon av kraniefraktur
AAD 99	Annen operasjon for hodeskade
AAE 00	Transsfenoidal eksplorasjon
AAE 10	Transsfenoidal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE 20	Transoral ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE 30	Translabyrintær ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE 40	Transtemporal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE 50	Zygomaticotemporal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE 99	Annen operasjon på skallebasis
AAF 00	Ventrikulostomi
AAF 02	Ekstern drenasje av hjerneventrikkel
AAF 05	Ventrikuloperitoneal shunt
AAF 10	Lumboperitoneal shunt
AAF 15	Ventrikuloatrial shunt
AAF 20	Revisjon av shunt fra hjerneventrikkel
AAF 25	Fjerning av shunt fra hjerneventrikkel
AAF 30	Implantasjon av intraventrikulært injeksjonsutstyr
AAF 35	Implantasjon av reservoar for intraventrikulær behandling
AAF 40	Shunt av intrakraniell cyste til peritoneum
AAF 99	Annen shuntoperasjon på hjerneventrikkel eller intrakraniell cyste
AAG 00	Stereotaktisk intrakraniell biopsi
AAG 10	Stereotaktisk intrakraniell destruksjon av kjerne eller nervebane
AAG 20	Stereotaktisk intrakraniell implantasjon av elektrode
AAG 30	Stereotaktisk intrakraniell implantasjon av radioaktiv substans
AAG 40	Stereotaktisk intrakraniell implantasjon av fostervev
AAG 50	Stereotaktisk intrakraniell strålebehandling
AAG 99	Annet stereotaktisk intrakranielt inngrep
AAH 10	Rhizotomi av hjernenerve
AAH 20	Dekompresjon av hjernenerve
AAH 30	Termisk destruksjon av hjernenerve
AAH 40	Injeksjon i hjernenerve
AAH 50	Anastomose av hjernenerve
AAH 60	Mikrovaskulær dekompresjon av hjernenerve
AAH 99	Annen operasjon på hjernenerve
AAJ 00	Hemisfærektomi
AAJ 10	Lobektomi for epilepsi
AAJ 15	Hippocampektomi
AAJ 20	Eksisjon av epileptisk fokus
AAJ 25	Overskjæring av nervebane for epilepsi
AAJ 30	Callosotomi for epilepsi
AAJ 35	Hemidekortikasjon for epilepsi
AAJ 99	Annen operasjon for epilepsi
AAK 00	Kranieplastikk
AAK 10	Duraplastikk
AAK 20	Operasjon for kraniosynostose
AAK 30	Kraniofacial rekonstruksjon ved medfødt misdannelse
AAK 40	Lukking av cerebrospinal likvorfistel
AAK 70	Beinbiopsi av kranium
AAK 75	Ekstirpasjon eller reseksjon av beintumor i kranium
AAK 99	Annen operasjon på kranium eller dura
AAL 00	Endovaskulær okklusjon av intrakranielt aneurisme
AAL 10	Intrakraniell endovaskulær trombolyse
AAL 20	Endovaskulær okklusjon av intrakraniell arteriovenøs malformasjon
AAL 30	Endovaskulær okklusjon av intrakraniell fistel
AAL 40	Endovaskulær okklusjon av arterie til intrakraniell tumor
AAL 99	Annet intrakranielt endovaskulært inngrep
AAM 00	Punksjon og evakuering av intracerebral abscess
AAM 10	Eksisjon av intracerebral abscess
AAM 30	Evakuering av epiduralt eller subduralt empyem
AAM 99	Annen operasjon for intrakraniell infeksjon
AAN 00	Eksisjon og rekonstruksjon av encefalocele
AAN 99	Annen operasjon for intrakraniell medfødt misdannelse
AAW 01	Implantasjon av intrakraniell stimulator
AAW 02	Implantasjon av intrakranielt injeksjonsutstyr
AAW 99	Annen operasjon på kranium eller intrakraniell struktur
ABA 00	Eksplorativ laminektomi
ABA 10	Biopsi av lesjon i spinalkanalen
ABA 99	Annen diagnostisk operasjon på ryggmarg eller nerverot
ABB 00	Ekstirpasjon av lesjon i spinalkanalen
ABB 10	Reseksjon av lesjon i spinalkanalen
