AAA00	Eksplorativ kraniotomi
AAA10	Biopsi via kraniotomi
AAA20	Innlegging av intraventrikulær trykkmåler
AAA25	Innlegging av epidural trykkmåler
AAA27	Innlegging av intracerebral trykkmåler
AAA30	Innlegging av epidural elektrode
AAA35	Innlegging av subdural elektrode
AAA40	Innlegging av intracerebral elektrode
AAA99	Annet diagnostisk intrakranielt inngrep
AAB00	Ekstirpasjon av intrakraniell lesjon
AAB10	Reseksjon av intrakraniell lesjon
AAB20	Destruksjon av intrakraniell lesjon
AAB30	Evakuering av spontant intrakranielt hematom
AAB99	Annen eksisjon eller destruksjon av intrakraniell lesjon
AAC00	Ligatur av intrakranielt aneurisme
AAC05	Proksimal ligatur av intrakranielt aneurisme
AAC10	Forsterkning av intrakraniell aneurismevegg
AAC15	Trapping av intrakranielt aneurisme
AAC20	Intrakraniell karanastomose
AAC30	Intrakraniell okklusjon av karfistel
AAC40	Ekstirpasjon av intrakraniell arteriovenøs malformasjon
AAC99	Annen operasjon for intrakraniell vaskulær lesjon
AAD00	Evakuering av epiduralt hematom
AAD05	Evakuering av akutt subduralt hematom
AAD10	Evakuering av kronisk subduralt hematom
AAD15	Evakuering av intracerebral traumatisk lesjon
AAD30	Revisjon av penetrerende kranieskade
AAD40	Revisjon av kraniefraktur
AAD99	Annen operasjon for hodeskade
AAE00	Transsfenoidal eksplorasjon
AAE10	Transsfenoidal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE20	Transoral ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE25	Transcervikal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE30	Translabyrintær ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE40	Transtemporal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE50	Zygomaticotemporal ekstirpasjon eller reseksjon av intrakraniell lesjon
AAE99	Annen operasjon på skallebasis
AAF00	Ventrikulostomi
AAF02	Ekstern drenasje av hjerneventrikkel
AAF05	Ventrikuloperitoneal shunt
AAF10	Lumboperitoneal shunt
AAF15	Ventrikuloatrial shunt
AAF20	Revisjon av shunt fra hjerneventrikkel
AAF25	Fjerning av shunt fra hjerneventrikkel
AAF30	Implantasjon av intraventrikulært injeksjonsutstyr
AAF35	Implantasjon av reservoar for intraventrikulær behandling
AAF40	Shunt av intrakraniell cyste til peritoneum
AAF45	Fenestrasjon av intrakraniell cyste
AAF99	Annen shuntoperasjon på hjerneventrikkel eller intrakraniell cyste
AAG00	Stereotaktisk intrakraniell biopsi
AAG10	Stereotaktisk intrakraniell destruksjon av kjerne eller nervebane
AAG20	Stereotaktisk intrakraniell implantasjon av elektrode
AAG30	Stereotaktisk intrakraniell implantasjon av radioaktiv substans
AAG40	Stereotaktisk intrakraniell implantasjon av fostervev
AAG50	Stereotaktisk intrakraniell strålebehandling
AAG99	Annet stereotaktisk intrakranielt inngrep
AAH10	Rhizotomi av hjernenerve
AAH20	Dekompresjon av hjernenerve
AAH30	Termisk destruksjon av hjernenerve
AAH40	Injeksjon i hjernenerve
AAH50	Anastomose av hjernenerve
AAH60	Mikrovaskulær dekompresjon av hjernenerve
AAH99	Annen operasjon på hjernenerve
AAJ00	Hemisfærektomi
AAJ10	Lobektomi for epilepsi
AAJ15	Hippocampektomi
AAJ20	Eksisjon av epileptisk fokus
AAJ25	Overskjæring av nervebane for epilepsi
AAJ30	Callosotomi for epilepsi
AAJ35	Hemidekortikasjon for epilepsi
AAJ99	Annen operasjon for epilepsi
AAK00	Kranieplastikk
AAK10	Duraplastikk
AAK20	Operasjon for kraniosynostose
AAK30	Kraniofacial rekonstruksjon ved medfødt misdannelse
AAK40	Lukking av cerebrospinal likvorfistel
AAK70	Beinbiopsi av kranium
AAK75	Ekstirpasjon eller reseksjon av beintumor i kranium
AAK99	Annen operasjon på kranium eller dura
AAL00	Endovaskulær okklusjon av intrakranielt aneurisme
AAL10	Intrakraniell endovaskulær trombolyse
AAL20	Endovaskulær okklusjon av intrakraniell arteriovenøs malformasjon
AAL30	Endovaskulær okklusjon av intrakraniell fistel
AAL40	Endovaskulær okklusjon av arterie til intrakraniell tumor
AAL99	Annet intrakranielt endovaskulært inngrep
AAM00	Punksjon og evakuering av intracerebral abscess
AAM10	Eksisjon av intracerebral abscess
AAM30	Evakuering av epiduralt eller subduralt empyem
AAM99	Annen operasjon for intrakraniell infeksjon
AAN00	Eksisjon og rekonstruksjon av encefalocele
AAN99	Annen operasjon for intrakraniell medfødt misdannelse
AAU00	Fjerning av implantat eller eksternt fiksasjonsutstyr fra kranium
AAW01	Implantasjon av intrakraniell stimulator
AAW02	Implantasjon av intrakranielt injeksjonsutstyr
AAW99	Annen operasjon på kranium eller intrakraniell struktur
ABA00	Eksplorativ laminektomi
ABA10	Biopsi av lesjon i spinalkanalen
ABA99	Annen diagnostisk operasjon på ryggmarg eller nerverot
ABB00	Ekstirpasjon av lesjon i spinalkanalen
ABB10	Reseksjon av lesjon i spinalkanalen
ABB20	Drenasje av cyste i ryggmarg eller spinalkanal
ABB30	Destruksjon av lesjon i spinalkanalen
ABB40	Evakuering av spontant hematom i spinalkanalen
ABB99	Annen operasjon for lesjon i spinalkanalen
ABC01	Perkutan endoskopisk diskektomi for cervikalt skiveprolaps
ABC04	Perkutan endoskopisk diskektomi for torakalt skiveprolaps
ABC07	Perkutan endoskopisk diskektomi for lumbalt skiveprolaps
ABC10	Mikrokirurgisk ekstirpasjon av cervikalt skiveprolaps
ABC13	Mikrokirurgisk ekstirpasjon av torakalt skiveprolaps
ABC16	Mikrokirurgisk ekstirpasjon av lumbalt skiveprolaps
ABC20	Diskektomi i cervikalkolumna
ABC23	Diskektomi i torakalkolumna
ABC26	Diskektomi i lumbalkolumna
ABC30	Dekompresjon av nerverøtter i cervikalkolumna
ABC33	Dekompresjon av nerverøtter i torakalkolumna
ABC36	Dekompresjon av nerverøtter i lumbalkolumna
ABC40	Dekompresjon av cauda equina i sacrum
ABC50	Dekompresjon av spinalkanal og nerverøtter i cervikalkolumna
ABC53	Dekompresjon av spinalkanal og nerverøtter itorakalkolumna
ABC56	Dekompresjon av spinalkanal og nerverøtter i lumbalkolumna
ABC60	Dekompresjon av cervikalmarg
ABC63	Dekompresjon av torakalmarg
ABC66	Dekompresjon av lumbalmarg
ABC99	Annen dekompresjon av ryggmarg eller nerverot
ABD10	Chordotomi
ABD20	Myelotomi
ABD30	Implantasjon av spinal stimulator
ABD40	Implantasjon av spinalt injeksjonsutstyr
ABD50	Rhizotomi av spinalnerve for smerte eller funksjonsforstyrrelse
ABD99	Annen operasjon på ryggmarg eller nerverot for smerte eller funksjonsforstyrrelse
ABE10	Operasjon for myelo- eller meningocele
ABE20	Løsning av tethered cord eller diastematomyeli
ABE30	Eksisjon av dermalsinus
ABE40	Operasjon for hydromyeli
ABE50	Oksipitocervikal dekompresjon
ABE99	Annen operasjon for medfødt spinal misdannelse
ABW99	Annen operasjon på spinalkanal, ryggmarg eller nerverot
ACA11	Eksplorasjon av nervus medianus
ACA12	Eksplorasjon av nervus radialis
ACA13	Eksplorasjon av nervus ulnaris
