
###
#KOODI_L    P
#MUUT_PVM   1995/10/12
#KAYTPVM    1996/01/01
#POISTPVM       /  /  
#SUOMI      Peripheral vessels and lymphatic system
#RUOTSI     ---
#ENGL       Peripheral vessels and lymphatic system
###
#KOODI_R    PA
#MUUT_PVM   1995/10/12
#KAYTPVM    1996/01/01
#POISTPVM       /  /  
#SUOMI      Operations on arteries of aortic arch and branches
#RUOTSI     ---
#ENGL       Operations on arteries of aortic arch and branches
###
#KOODI_A    PAA
#MUUT_PVM   1995/10/12
#KAYTPVM    1996/01/01
#POISTPVM       /  /  
#SUOMI      Exploration of arteries of aortic arch and branches
#RUOTSI     ---
#ENGL       
#OHJE_S  
Includes: Biopsy
#OHJE_R 
---
###
#KOODI      PAA10  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Eksplorasjon av truncus brachiocephalicus
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA20  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a.carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA20  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a. carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA20  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Eksplorasjon av a. carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA21  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a.carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA21  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a. carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA21  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Eksplorasjon av a. carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA30  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a.subclavia
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA30  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av a. subclavia
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA30  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Eksplorasjon av a. subclavia
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA99  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av annen arterie fra aortabuen el dens greiner
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA99  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Eksplorasjon av annen arterie fra aortabuen eller dens greiner
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAA99  
#MUUT_PVM   2013/08/17
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Eksplorasjon av annen arterie fra aortabuen eller dens greiner
#RUOTSI     ---
#LYHENNE    
###
#KOODI_A    PAB
#MUUT_PVM   1995/10/12
#KAYTPVM    1996/01/01
#POISTPVM       /  /  
#SUOMI      Ligature of arteries of aortic arch and branches
#RUOTSI     ---
#ENGL       
###
#KOODI      PAB10  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Ligatur av truncus brachiocephalicus
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB20  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a.carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB20  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a. carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB20  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Ligatur av a. carotis communis
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB21  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a.carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB21  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a. carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB21  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Ligatur av a. carotis interna
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB22  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a.carotis externa
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB22  
#MUUT_PVM   2004/11/22
#KAYTPVM    2005/01/01
#POISTPVM   2005/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a. carotis externa
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB22  
#MUUT_PVM   2006/02/13
#KAYTPVM    2005/01/01
#POISTPVM       /  /  
#VANHA                
#SUOMI      Ligatur av a. carotis externa
#RUOTSI     ---
#LYHENNE    
###
#KOODI      PAB30  
#MUUT_PVM   1998/11/22
#KAYTPVM    1999/01/01
#POISTPVM   2004/12/31
#POISTETTU
#VANHA                
#SUOMI      Ligatur av a.subclavia
#RUOTSI     ---
#LYHENNE    
###
