V0100  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-idrott
V0101  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0102  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0103  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0104  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0108  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0109  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0110  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-idrott
V0111  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-lek,fritid
V0112  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0113  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0114  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0118  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0119  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0190  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-idrott
V0191  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0192  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0193  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0194  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0198  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0199  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0200  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-idrott
V0201  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0202  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0203  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0204  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0208  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0209  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0210  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-idrott
V0211  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-lek,fritid
V0212  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0213  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0214  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0218  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0219  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0290  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-idrott
V0291  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0292  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0293  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0294  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0298  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0299  Fotg„ngare skadad i kollision med tv†- eller trehjuligt motorfordon, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0300  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-idrott
V0301  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0302  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0303  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0304  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0308  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0309  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0310  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-idrott
V0311  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-lek,fritid
V0312  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0313  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0314  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0318  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0319  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0390  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-idrott
V0391  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0392  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0393  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0394  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0398  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0399  Fotg„ngare skadad i kollision med personbil eller l„tt lastbil, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0400  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-idrott
V0401  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0402  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0403  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0404  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0408  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0409  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0410  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-idrott
