AAA00  Explorativ kraniotomi
AAA10  Biopsi via kraniotomi
AAA20  Inl„ggande av intrakraniell tryckm„tare
AAA25  Inl„ggande av epidural tryckm„tare
AAA27  Inl„ggande av intracerebral tryckm„tare
AAA30  Inl„ggande av epidurala elektroder
AAA35  Inl„ggande av subdurala elektroder
AAA40  Inl„ggande av intracerebrala elektroder
AAA99  Annan diagnostisk intrakraniell operation
AAB00  Exstirpation av intrakraniell f”r„ndring
AAB10  Resektion av intrakraniell f”r„ndring
AAB20  Destruktion av intrakraniell f”r„ndring
AAB30  Utrymning av spontant intrakraniellt hematom
AAB99  Annan operation p† intrakraniell f”r„ndring
AAC00  Stj„lkligatur av intrakraniellt aneurysm
AAC05  Proximal ligatur av intrakraniellt aneurysm
AAC10  V„ggf”rst„rkning av intrakraniellt aneurysm
AAC15  Trapping av intrakraniellt aneurysm
AAC20  Intrakraniell k„rlanastomos
AAC30  Ocklusion av intrakraniell fistel
AAC40  Exstirpation av intrakraniell arterioven”s missbildning
AAC99  Annan intrakraniell k„rloperation
AAD00  Utrymning av epiduralt hematom
AAD05  Utrymning av akut subduralt hematom
AAD10  Utrymning av kroniskt subduralt hematom
AAD15  Utrymning av traumatiskt intracerebralt hematom
AAD30  Revision av penetrerande eller perforerande skallskada
AAD40  Revision av skallfraktur
AAD99  Annan operation p g a kraniella och intrakraniella traumatiska f”r„ndringar
AAE00  Transsfenoidal exploration
AAE10  Transsfenoidal total eller partiell exstirpation av intrakraniell f”r„ndring
AAE20  Transoral total eller partiell exstirpation av intrakraniell f”r„ndring
AAE25  Transcervikal total eller partiell exstirpation av intrakraniell f”r„ndring
AAE30  Translabyrint„r total eller partiell exstirpation av intrakraniell f”r„ndring
AAE40  Transtemporal total eller partiell exstirpation av intrakraniell f”r„ndring
AAE50  Zygomatikotemporal total eller partiell exstirpation av intrakraniell f”r„ndring
AAE99  Annan kraniobasal operation
AAF00  Ventrikulostomi
AAF05  Ventrikuloperitoneal shunt
AAF10  Lumboperitoneal shunt
AAF15  Ventrikuloatrial shunt
AAF20  Revision av ventrikelshunt
AAF25  Borttagande av ventrikelshunt
AAF30  Inl„ggande av intraventrikul„r injektionsport
AAF35  Inl„ggande av reservoar f”r intraventrikul„r behandling
AAF40  Anl„ggande av shunt mellan intrakraniell cysta och peritoneum
AAF45  Fenestrering av intrakraniell cysta
AAF99  Annan shuntoperation p† hj„rnventrikel eller intrakraniell cysta
AAG00  Stereotaktisk biopsi
AAG10  Stereotaktisk destruktion av nukleus eller nervbana
AAG20  Stereotaktiskt inl„ggande av elektroder
AAG30  Stereotaktisk implantation av str†lk„lla
AAG40  Stereotaktisk implantation av fosternervceller eller autologa celler
AAG50  Stereotaktisk str†lbehandling
AAG99  Annan stereotaktisk operation
AAH10  Rhizotomi av kranialnerv
AAH20  Dekompression av kranialnerv
AAH30  Termolesion av kranialnerv
AAH40  Injektion i kranialnerv
