A      Operationer p† nervsystemet
B      Operationer p† endokrina organ
C      Operationer och speciella unders”kningar i ”gonregionen
D      Operationer p† ”ron, n„sa, hals och struphuvud
E      Operationer p† l„ppar, t„nder, k„kar, mun och svalg
F      Operationer p† hj„rtat och de stora intratorakala k„rlen
G      Operationer p† br”stv„gg, pleura, mediastinum, diafragma, trakea, bronker och lungor
H      Operationer p† br”stk”rtlar
J      Operationer p† gastrointestinalkanalen och d„rtill h”rande organ
K      Operationer p† urinv„gar, manliga k”nsorgan och retroperitoneal v„vnad
L      Operationer p† kvinnliga k”nsorgan
M      Obstetriska ingrepp
N      Operationer p† r”relseapparaten
P      Operationer p† perifera k„rl och lymfsystemet
Q      Operationer p† hud och subkutan v„vnad
T      Mindre kirurgiska ingrepp
U      Transluminal endoskopi
X      Diagnostiska †tg„rder i anslutning till kirurgisk verksamhet
Y      Uttagning av organ till transplantation
V      Icke-operativa †tg„rder (tempor„rt) 
Z      Till„ggskoder
