AAA    Diagnostiska intrakraniella operationer
AAB    Exstirpation och destruktion av intrakraniell f”r„ndring
AAC    Operationer f”r aneurysm och andra intrakraniella k„rloperationer
AAD    Operationer p g a kraniella och intrakraniella traumatiska f”r„ndringar
AAE    Kraniobasala operationer
AAF    Shuntoperationer p† hj„rnventrikel eller intrakraniell cysta
AAG    Stereotaktiska operationer
AAH    Operationer p† kranialnerver
AAJ    Operationer p g a epilepsi
AAK    Operationer p† kranium och dura
AAL    Endovaskul„ra intrakraniella operationer
AAM    Punktion och dr„nage vid intrakraniella infektioner
AAN    Operationer vid intrakraniella kongenitala missbildningar
AAP    Rekonstruktiva operationer vid facialispares
AAU    Avl„gsnande av implantat och externt fixationsmaterial fr†n skallen
AAW    Andra operationer p† kranium och intrakraniella strukturer
ABA    Diagnostiska operationer p† ryggm„rg och nervr”tter
ABB    Operationer f”r patologisk f”r„ndring i ryggm„rg och nervr”tter
ABC    Dekompressiva operationer av ryggm„rg och nervr”tter
ABD    Operationer p† ryggm„rg och nervr”tter p g a sm„rta och funktionella st”rningar
ABE    Operationer p g a spinala missbildningar
ABW    Andra operationer p† ryggm„rg och nervr”tter
ACA    Diagnostiska operationer p† perifera nerver
ACB    Operationer p g a patologisk f”r„ndring eller skada p† perifera nerver
ACC    Operationer p† perifera nerver p g a funktionella rubbningar
ACW    Andra operationer p† perifera nerver
ADA    Operationer p† sympatiska nerver
ADB    Operationer p† vagusnerv
ADW    Andra operationer p† autonoma nervsystemet
AEA    Operationer med stimuleringsutrustning och injektionsport i nervsystemet
AWA    Reoperation f”r s†rruptur
AWB    Reoperation f”r ytlig infektion
AWC    Reoperation f”r djup infektion
AWD    Reoperation f”r ytlig bl”dning
AWE    Reoperation f”r djup bl”dning
AWW    Annan reoperation p† nervsystemet
BAA    Operationer p† sk”ldk”rteln
BBA    Operationer p† bisk”ldk”rtlar
BCA    Operationer p† binjurar
BDA    Operationer p† glomus caroticum
BWA    Reoperation f”r s†rruptur
BWB    Reoperation f”r ytlig infektion
BWC    Reoperation f”r djup infektion
BWD    Reoperation f”r ytlig bl”dning
BWE    Reoperation f”r djup bl”dning
BWW    Annan reoperation p† endokrina organ
CAA    Punktion, incision och biopsi av orbita
CAB    Exstirpation av patologisk f”r„ndring fr†n orbita
CAC    Operationer p† orbitas benv„gg
CAD    Utrymning av hela orbitan
CAE    Operationer vid anoftalmus och efter enukleation eller evisceration av ”gat
CAW    Andra operationer p† orbita
CBA    Incision och biopsi av ”gonlock
CBB    Incision eller excision av ”gonlock, avl„gsnande av lokal f”r„ndring
CBC    Operation vid skador p† ”gonlock
CBD    Rekonstruktion av ”gonlock
CBE    Operationer f”r entropium
CBF    Operationer f”r ektropium
CBG    Operationer f”r trikiasis
CBH    Operationer p† kantus och ”gonlockskanten
CBJ    Operationer f”r ptos
CBK    Operationer f”r lagoftalmus och ”gonlocksretraktion
CBL    Operationer vid blefarospasm
CBW    Andra operationer p† ”gonlock
CCA    Incision och biopsi av t†rk”rtel och t†rkanal
CCB    Andra operationer p† t†rk”rtel
CCC    Operationer p† t†rkanalerna
CCD    Rekonstruktiva ingrepp p† t†rv„garna
CCW    Andra operationer p† t†rv„garna
CDB    Avl„gsnande av intraokul„r fr„mmande kropp
CDC    Enukleation och evisceration av ”gat
CDW    Andra operationer p† bulben som helhet
CEA    Biopsi av ”gonmuskel
CEB    Myektomi, myotomi, tenotomi av ”gonmuskel
CEC    Flyttning av ”gonmuskel
CED    Veckning av ”gonmuskel
CEE    Fixering av ”gonmuskel
CEF    Operation vid skada eller efter tidigare operation p† ”gonmuskel
CEW    Andra operationer p† ”gonmusklerna
CFA    Incision och biopsi av bindehinnan
CFB    Sutur, avl„gsnande av fr„mmande kropp i bindehinnan
CFC    Avl„gsnande av tum”r eller lokal f”r„ndring
CFD    Rekonstruktiva ingrepp p† bindehinnan
CFW    Andra operationer p† bindehinnan
CGA    Biopsi av hornhinna eller sklera
CGB    Incision i hornhinna eller sklera
CGC    Avl„gsnande av fr„mmande kropp i hornhinna eller sklera
CGD    Operationer f”r refraktionsanomali
CGE    Behandling av v„vnadsf”r„ndringar i hornhinna eller sklera
CGF    Behandling av perforerande s†r i hornhinna eller sklera
CGG    Rekonstruktiva ingrepp p† hornhinna och sklera
CGW    Andra operationer p† hornhinna och sklera
CHA    Biopsi av fr„mre kammaren, kammarvinkeln, iris och ciliarkroppen
CHB    Ingrepp i fr„mre kammaren och kammarvinkeln
CHC    Iridotomi och iridektomi
CHD    Filtrationsoperationer
CHE    Operationer f”r tum”r eller lokal f”r„ndring i iris
CHF    Operationer p† ciliarkroppen
CHW    Andra operationer i fr„mre kammare, kammarvinkel, p† iris och ciliarkroppen
CJB    Operationer vid sekund„r katarakt
CJC    Intrakapsul„r kataraktextraktion
CJD    Extrakapsul„r kataraktextraktion
CJE    Extrakapsul„r kataraktoperation med fakoemulsifikation
CJF    Andra operationer med linsprotes
CJG    Operationer vid luxerad lins
CJW    Andra operationer p† linsen
CKA    Biopsi av †derhinna, n„thinna och glaskropp
CKB    Operationer vid korioidalavlossning
CKC    Extraokul„ra operationer p† †derhinna, n„thinna och glaskropp
CKD    Intraokul„ra operationer p† †derhinna, n„thinna och i glaskropp
CKE    Operationer vid v„vnadsf”r„ndring (t ex tum”rer) i †derhinna och n„thinna
CKW    Andra operationer p† †derhinna, n„thinna och glaskropp
CWA    Reoperation f”r s†rruptur
CWB    Reoperation f”r ytlig infektion
CWC    Reoperation f”r djup infektion
CWD    Reoperation f”r ytlig bl”dning
CWE    Reoperation f”r djup bl”dning
CWF    Reoperation f”r anastomos- och suturinsufficiens
CWW    Annan reoperation i ”gonregionen
DAA    DAA
DAB    DAB
DAD    DAD
DAW    DAW
DBA    DBA
DBB    DBB
DBD    DBD
DBW    DBW
DCA    DCA
DCB    DCB
DCC    DCC
DCD    DCD
DCW    DCW
DDA    DDA
DDB    DDB
DDD    DDD
DDW    DDW
DEA    DEA
DEB    DEB
DED    DED
DEE    DEE
DEW    DEW
DFA    DFA
DFB    DFB
DFD    DFD
DFE    DFE
DFW    DFW
DGA    DGA
DGB    DGB
DGW    DGW
DHA    DHA
DHB    DHB
DHC    DHC
DHD    DHD
DHW    DHW
DJA    DJA
DJB    DJB
DJD    DJD
DJW    DJW
DKW    DKW
DLD    DLD
DLW    DLW
DMA    DMA
DMB    DMB
DMC    DMC
DMW    DMW
DNA    DNA
DNB    DNB
DNC    DNC
DNW    DNW
DPA    DPA
DPB    DPB
DPW    DPW
DQA    DQA
DQB    DQB
DQC    DQC
DQD    DQD
DQE    DQE
DQW    DQW
DWA    Reoperation f”r s†rruptur
DWB    Reoperation f”r ytlig infektion
DWC    Reoperation f”r djup infektion
DWD    Reoperation f”r ytlig bl”dning
DWE    Reoperation f”r djup bl”dning
DWF    Reoperation f”r anastomos- och suturinsufficiens
