A083A  Coxsackievirusenterit
A083B  ECHO-virusenterit
A083W  Enterit orsakad av annat specificerat virus
A184C  Lupus vulgaris UNS
A184D  Scrofuloderma
A184E  Tuberkul”st erythema induratum
A184F  Tuberkul”st erythema nodosum
A184G  Tuberkul”st huds†r
A184H  Tuberculosis verrucosa cutis
A184J  Acne scrofulosorum
A184K  Lichen scrofulosorum
A184L  Papulonekrotisk tuberkulid
A184X  Tuberkulos i hud och subkutan v„vnad, ospecificerad
A488A  Trichomycosis axillaris
A488B  Rinosklerom
A488W  Andra specificerade bakteriesjukdomar
A491A  Pneumokockinfektion UNS
A491W  Streptokockinfektion UNS
A498A  Escherichia coli-infektion UNS
A498W  Infektion orsakad av annan specificerad bakterie
A513A  Condyloma latum
A513B  Syfilitisk (sekund„r) alopeciÅ (L998*)
A513C  Syfilitisk leukodermaÅ (L998*)
A513X  Sekund„r syfilis i hud och slemhinnor, ospecificerad
A540A  Gonokockcervicit UNS
A540C  Gonokockuretrit UNS
A540D  Gonokockvulvovaginit UNS
A540E  Gonokockbalanit (akut) (kronisk)
A540F  Gonokockorsakad lymfangit i penis
A540X  Gonokockinfektion i k”nsorgan och nedre urinv„gar utan abscess, ospecificerad
A560A  Klamydiacervicit
A560C  Klamydiauretrit
A560D  Klamydiavulvovaginit
A560X  Klamydiainfektion i nedre delen av urin- och k”nsorganen, ospecificerad
A630A  Spetsiga kondylom
A630B  Platta kondylom
A630X  Kondylom, ospecificerade
A870A  Meningit av Coxsackievirus
A870B  Meningit av ECHO-virus
A870W  Meningit orsakad av annat specificerat enterovirus
B001A  Herpes labialis
B001B  Herpes facialis
B001X  Vesikul„r dermatit orsakad av herpes simplex-virus, ospecificerad
B079A  Verruca vulgaris
B079B  Verruca filiformis
B079C  Verruca plana
B079D  Verruca plantaris
B079W  Andra virusv†rtor
B079X  Virusv†rtor, ospecificerade
B080A  Ecthyma contagiosum
B080B  Falska kokoppor
B080C  Kokoppor
B080W  Annan och icke specificerad infektion orsakad av ortopoxvirus
B180A  Kronisk hepatit B med hepatit D (coinfection), normal lever
