A00    Kolera
A01    Tyfoidfeber och paratyfoidfeber
A02    Andra salmonellainfektioner
A03    Shigellos (bakteriell dysenteri, r”dsot)
A04    Andra bakteriella tarminfektioner
A05    Annan matf”rgiftning orsakad av bakterier
A06    Am”bainfektion
A07    Andra protozosjukdomar i tarmen
A08    Tarminfektioner orsakade av virus och andra specificerade organismer
A09    Diarr‚ och mag-tarmsjukdom d„r infekti”s orsak f”rmodas
A15    Tuberkulos i andningsorganen, bakteriologiskt och histologiskt verifierad
A16    Tuberkulos i andningsorganen, ej verifierad bakteriologiskt eller histologiskt
A17    Tuberkulos i nervsystemet
A18    Tuberkulos i andra organ
A19    Miliartuberkulos (utspridd tuberkulos)
A20    Pest
A21    Tularemi (harpest)
A22    Mj„ltbrand
A23    Undulantfeber
A24    Rots och melioidos
A25    R†ttbettsfeber
A26    Erysipeloid
A27    Leptospiros
A28    Andra djurburna bakteriesjukdomar som ej klassificeras annorst„des
A30    Lepra
A31    Sjukdomar orsakade av andra mykobakterier
A32    Listerios
A33    Stelkramp hos nyf”dd
A34    Obstetrisk stelkramp
A35    Annan stelkramp
A36    Difteri
A37    Kikhosta
A38    Scharlakansfeber
A39    Meningokockinfektion
A40    Septikemi (blodf”rgiftning) orsakad av streptokocker
A41    Annan septikemi
A42    Aktinomykos (str†lsvamp)
A43    Nokardios
A44    Bartonellos
A46    Rosfeber
A48    Andra bakteriesjukdomar som ej klassificeras annorst„des
A49    Bakterieinfektion med icke specificerad lokalisation
A50    Medf”dd syfilis
A51    Tidig syfilis
A52    Sen syfilis
A53    Annan och icke specificerad syfilis
A54    Gonokockinfektion
A55    Lymfogranulom (veneriskt) orsakat av klamydia
A56    Andra sexuellt ”verf”rda klamydiasjukdomar
A57    Chankroid (mjuk schanker)
A58    Granuloma inguinale
A59    Trikomonasinfektion
A60    Anogenital infektion med herpes simplex-virus
A63    Andra huvudsakligen sexuellt ”verf”rda sjukdomar som ej klassificeras annorst„des
A64    Icke specificerad sexuellt ”verf”rd sjukdom
A65    Icke venerisk syfilis
A66    Yaws
A67    Pinta
A68    terfallsfeber
A69    Andra spiroketinfektioner
A70    Infektion orsakad av Chlamydia psittaci (papegojsjuka)
A71    Trakom
A74    Andra sjukdomar orsakade av klamydier
A75    Fl„cktyfus ”verf”rd av l”ss, loppor och kvalster
A77    Rickettsiasjukdom ”verf”rd av f„stingar
A78    Q-feber
A79    Andra rickettsiasjukdomar
A80    Akut polio (barnf”rlamning)
A81    Atypisk virusinfektion i centrala nervsystemet
A82    Rabies (vattuskr„ck)
A83    Virusencefalit ”verf”rd av myggor
A84    Virusencefalit ”verf”rd av f„stingar
A85    Andra virusencefaliter som ej klassificeras annorst„des
A86    Icke specificerad virusencefalit
A87    Virusmeningit
A88    Andra virusinfektioner i centrala nervsystemet som ej klassificeras annorst„des
A89    Icke specificerad virusinfektion i centrala nervsystemet
A90    Denguefeber (klassisk dengue)
A91    Hemorragisk denguefeber
A92    Andra febersjukdomar orsakade av virus ”verf”rda av myggor
A93    Andra febersjukdomar orsakade av virus ”verf”rda av leddjur, som ej klassificeras annorst„des
A94    Icke specificerad febersjukdom orsakad av virus ”verf”rt av leddjur
A95    Gula febern
A96    Arenaviral hemorragisk feber
A98    Andra hemorragiska febersjukdomar orsakade av virus som ej klassificeras annorst„des
A99    Icke specificerad hemorragisk febersjukdom orsakad av virus
B00    Herpes simplex-infektioner
B01    Vattkoppor
B02    B„ltros
B03    Smittkoppor
B04    Apkoppor
B05    M„ssling
B06    R”da hund
B07    Virusv†rtor
B08    Andra virussjukdomar med hud- och slemhinneutslag som ej klassificeras annorst„des
B09    Icke specificerad virusinfektion med hud- och slemhinneutslag
B15    Akut hepatit A
B16    Akut hepatit B
B17    Annan akut virushepatit
B18    Kronisk virushepatit
B19    Icke specificerad virushepatit
B20    Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med infektions- och parasitsjukdom
B21    Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med maligna tum”rer
B22    Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra specificerade sjukdomar
B23    Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra tillst†nd
B24    Icke specificerad sjukdom orsakad av humant immunbristvirus [HIV]
B25    Cytomegalvirussjukdom
B26    P†ssjuka
B27    K”rtelfeber
B30    Viruskonjunktivit
B33    Andra virussjukdomar som ej klassificeras annorst„des
B34    Virussjukdom med icke specificerad lokalisation
B35    Dermatofytos (hudsvampsjukdom)
B36    Andra ytliga mykoser
B37    Candidainfektion
B38    Koccidioidomykos
B39    Histoplasmos
B40    Blastomykos
B41    Parakoccidioidomykos
B42    Sporotrikos
B43    Kromomykos och feomykotisk abscess
B44    Aspergillos
B45    Kryptokockos
B46    Zygomykos
B47    Mycetom
B48    Andra mykoser som ej klassificeras annorst„des
B49    Icke specificerad mykos
B50    Malaria orsakad av Plasmodium falciparum
B51    Malaria orsakad av Plasmodium vivax
B52    Malaria orsakad av Plasmodium malariae
B53    Annan parasitologiskt verifierad malaria
B54    Malaria, ospecificerad
B55    Leishmanios
B56    Afrikansk trypanosomiasis (s”mnsjuka)
B57    Chagas sjukdom
B58    Toxoplasmos
B59    Pneumocystis carinii-infektion
B60    Andra protozosjukdomar som ej klassificeras annorst„des
B64    Icke specificerad protozosjukdom
B65    Schistosomiasis
B66    Andra trematodinfektioner (infektioner med flundror och andra sugmaskar)
B67    Bl†smasksjuka
B68    Taeniainfektion
B69    Cysticerkos
B70    Infektion med binnikemaskar
B71    Andra bandmaskinfektioner
B72    Dracontiasis
B73    Onchocerciasis
B74    Filariainfektion
B75    Trikinos (sjukdom orsakad av trikiner)
B76    Hakmasksjukdom
B77    Spolmaskinfektion
B78    Strongyloidesinfektion
B79    Piskmaskinfektion
B80    Springmaskinfektion
B81    Andra tarmmaskinfektioner som ej klassificeras annorst„des
B82    Infektion med icke specificerade tarmparasiter
B83    Andra masksjukdomar
B85    Lusangrepp
B86    Skabb
B87    Infestation av fluglarver
B88    Andra infestationer
B89    Icke specificerade parasitsjukdomar
B90    Sena effekter av tuberkulos
B91    Sena effekter av polio
B92    Sena effekter av lepra
B94    Sena effekter av andra och icke specificerade infektionssjukdomar och parasitsjukdomar
B95    Streptokocker och stafylokocker som orsak till sjukdomar som klassificeras i andra kapitel
B96    Andra bakterier som orsak till sjukdomar som klassificeras under andra kapitel
B97    Virus som orsak till sjukdomar som klassificeras i andra kapitel
B99    Andra och icke specificerade infektionssjukdomar
C00    Malign tum”r i l„pp
C01    Malign tum”r i tungbasen
C02    Malign tum”r i annan och icke specificerad del av tungan
C03    Malign tum”r i tandk”ttet
C04    Malign tum”r i munbotten
C05    Malign tum”r i gom
C06    Malign tum”r i annan och icke specificerad del av munh†lan
C07    Malign tum”r i parotisk”rtel
C08    Malign tum”r i andra och icke specificerade stora spottk”rtlar
C09    Malign tum”r i tonsill
C10    Malign tum”r i orofarynx (mellansvalget)
C11    Malign tum”r i rinofarynx (”vre svalgrummet)
C12    Malign tum”r i fossa piriformis
C13    Malign tum”r i hypofarynx (svalget i h”jd med struphuvudet)
C14    Malign tum”r med annan och ofullst„ndigt angiven lokalisation i l„pp, munh†la och svalg
C15    Malign tum”r i matstrupen
