IN/OUT;CODE;NCSP;TEXT
IN;ADA40;;Perkutan transluminal ablation av sympatiska njurnerver (i)
IN;DG027;;Inledande av l?ngtidsbehandling med luftv?gsmottryck CPAP eller BilevelPAP (i)
IN;DU033;;Musikterapi (i)
IN;DU055;;Samtal med vuxen patient om minder?rigas behov och m?jlighet till st?d (i)
IN;DU056;;Samtal med vuxen patient och ber?rda minder?riga om barnets situation och behov (i)
IN;DU057;;Samtal med minder?rig vars n?rst?ende ?r patient om barnets situation och behov (i)
IN;XU045;;Uppr?ttande av samordnad individuell plan (i)
IN;XU046;;Uppr?ttande av samordnad plan vid utskrivning (i)
IN;XU047;;Kvarh?llning enligt lagen om psykiatrisk tv?ngsv?rd (i)
IN;XV015;;L?kemedelsgenomg?ng, enkel (i)
IN;XV016;;L?kemedelsgenomg?ng, f?rdjupad (i)
IN;XV017;;L?kemedelsber?ttelse (i)
IN;ZV509;;Medverkan av f?retr?dare f?r socialtj?nst (i)
IN;ZV510;;Medverkan av f?retr?dare f?r kriminalv?rd (i)
IN;ZV511;;Medverkan av LSS-handl?ggare (i)
IN;ZV512;;Medverkan av personligt ombud (i)
IN;ZV513;;Medverkan av f?rmyndare eller god man (i)
IN;ZV514;;Medverkan av f?retr?dare f?r patientens boende (i)
IN;ZZK10;;Biosyntetiskt nervallograft
OUT;AG061;;Utredning inf?r planerad behandling med luftv?gsmottryck CPAP eller BiPAP
IN;AG061;;Utredning inf?r planerad behandling med luftv?gsmottryck CPAP eller BilevelPAP (i)
OUT;AU004;;Psykosocial utredning enligt lag
IN;AU004;;Psykosocial utredning enligt lag (i)
OUT;DG001;;Inledande av behandling med luftv?gsmottryck CPAP eller BiPAP
IN;DG001;;Inledande av akutbehandling med luftv?gsmottryck CPAP eller BilevelPAP (i)
OUT;DU024;;Funktionell Familjeterapi (FFT)
IN;DU024;;Funktionell familjeterapi (FFT) (i)
OUT;DU025;;Barnorienterad Familjeterapi (BOF)
IN;DU025;;Barnorienterad familjeterapi (BOF) (i)
OUT;FNG05;;Perkutan transluminal koronarangioplastik (PTCA) med inl?ggande av stent
IN;FNG05;;Perkutan transluminal koronarangioplastik (PTCA) med inl?ggande av stent (i)
OUT;XS005;;Externt informationsutbyte
IN;XS005;;Externt informationsutbyte (i)
OUT;ZV229;;ètg?rd utf?rd under fasth?llande eller fastsp?nning
IN;ZV229;;ètg?rd utf?rd under fasth?llande eller fastsp?nning (i)
OUT;AU121;;Beardslee familjeintervention
OUT;QT002;;L?kemedelsdispensering
OUT;QX003;;Tobaksavv?njning (i)
OUT;XV012;;L?kemedelsgenomg?ng (i)
OUT;ZV501;;Medverkan av f?retr?dare f?r kommunen (i)
