IN/OUT	CODE	NCSP	TEXT
IN	ADA40		Perkutan transluminal ablation av sympatiska njurnerver (i)
IN	DG027		Inledande av långtidsbehandling med luftvägsmottryck CPAP eller BilevelPAP (i)
IN	DU033		Musikterapi (i)
IN	DU055		Samtal med vuxen patient om minderårigas behov och möjlighet till stöd (i)
IN	DU056		Samtal med vuxen patient och berörda minderåriga om barnets situation och behov (i)
IN	DU057		Samtal med minderårig vars närstående är patient om barnets situation och behov (i)
IN	XU045		Upprättande av samordnad individuell plan (i)
IN	XU046		Upprättande av samordnad plan vid utskrivning (i)
IN	XU047		Kvarhållning enligt lagen om psykiatrisk tvångsvård (i)
IN	XV015		Läkemedelsgenomgång, enkel (i)
IN	XV016		Läkemedelsgenomgång, fördjupad (i)
IN	XV017		Läkemedelsberättelse (i)
IN	ZV509		Medverkan av företrädare för socialtjänst (i)
IN	ZV510		Medverkan av företrädare för kriminalvård (i)
IN	ZV511		Medverkan av LSS-handläggare (i)
IN	ZV512		Medverkan av personligt ombud (i)
IN	ZV513		Medverkan av förmyndare eller god man (i)
IN	ZV514		Medverkan av företrädare för patientens boende (i)
IN	ZZK10		Biosyntetiskt nervallograft
OUT	AG061		Utredning inför planerad behandling med luftvägsmottryck CPAP eller BiPAP
IN	AG061		Utredning inför planerad behandling med luftvägsmottryck CPAP eller BilevelPAP (i)
OUT	AU004		Psykosocial utredning enligt lag
IN	AU004		Psykosocial utredning enligt lag (i)
OUT	DG001		Inledande av behandling med luftvägsmottryck CPAP eller BiPAP
IN	DG001		Inledande av akutbehandling med luftvägsmottryck CPAP eller BilevelPAP (i)
OUT	DU024		Funktionell Familjeterapi (FFT)
IN	DU024		Funktionell familjeterapi (FFT) (i)
OUT	DU025		Barnorienterad Familjeterapi (BOF)
IN	DU025		Barnorienterad familjeterapi (BOF) (i)
OUT	FNG05		Perkutan transluminal koronarangioplastik (PTCA) med inläggande av stent
IN	FNG05		Perkutan transluminal koronarangioplastik (PTCA) med inläggande av stent (i)
OUT	XS005		Externt informationsutbyte
IN	XS005		Externt informationsutbyte (i)
OUT	ZV229		Åtgärd utförd under fasthållande eller fastspänning
IN	ZV229		Åtgärd utförd under fasthållande eller fastspänning (i)
OUT	AU121		Beardslee familjeintervention
OUT	QT002		Läkemedelsdispensering
OUT	QX003		Tobaksavvänjning (i)
OUT	XV012		Läkemedelsgenomgång (i)
OUT	ZV501		Medverkan av företrädare för kommunen (i)
			
			
