D630   Anemi vid tum”rsjukdom
D638   Anemi vid andra kroniska sjukdomar som klassificeras annorst„des
D779   Andra f”r„ndringar i blod och blodbildande organ vid sjukdomar som klassificeras annorst„des
E350   Sjukliga f”r„ndringar i tyreoidea vid sjukdomar som klassificeras annorst„des
E351   Sjukliga f”r„ndringar i binjurarna vid sjukdomar som klassificeras annorst„des
E358   Andra endokrina rubbningar vid sjukdomar som klassificeras annorst„des
E909   Rubbningar i nutrition och „mnesoms„ttning vid sjukdomar som klassificeras annorst„des
F000   Demens vid Alzheimers sjukdom med tidig debut
F001   Demens vid Alzheimers sjukdom med sen debut
F002   Demens vid Alzheimers sjukdom, atypisk eller blandad typ
F009   Demens vid Alzheimers sjukdom, ospecificerad
F020   Demens vid Picks sjukdom
F021   Demens vid Creutzfeldt-Jakobs sjukdom
F022   Demens vid Huntingtons sjukdom
F023   Demens vid Parkinsons sjukdom
F024   Demens vid sjukdom orsakad av humant immunbristvirus
F028   Demens vid andra specificerade sjukdomar som klassificeras annorst„des
G019   Meningit vid bakteriesjukdomar som klassificeras annorst„des
G020   Meningit vid virussjukdomar som klassificeras annorst„des
G021   Meningit vid svampsjukdomar
G028   Meningit vid andra infektions- och parasitsjukdomar som klassificeras annorst„des
G050   Encefalit, myelit och encefalomyelit vid bakteriesjukdomar som klassificeras annorst„des
G051   Encefalit, myelit och encefalomyelit vid virussjukdomar som klassificeras annorst„des
G052   Encefalit, myelit och encefalomyelit vid andra infektions- och parasitsjukdomar som klassificeras annorst„des
G058   Encefalit, myelit och encefalomyelit vid andra sjukdomar som klassificeras annorst„des
G079   Abscess och granulom i skallen och ryggradskanalen vid sjukdomar som klassificeras annorst„des
G130   Paraneoplastisk neuromyopati och neuropati
G131   Annan systemisk atrofi som prim„rt engagerar centrala nervsystemet vid tum”rsjukdomar
G132   Systemisk atrofi som prim„rt engagerar centrala nervsystemet vid myx”dem
G138   Systemisk atrofi som prim„rt engagerar centrala nervsystemet vid andra sjukdomar som klassificeras annorst„des
G229   Parkinsonism vid sjukdomar som klassificeras annorst„des
G269   Basalganglietillst†nd och r”relserubbningar vid sjukdomar som klassificeras annorst„des
G320   Subakut kombinerad degeneration i ryggm„rgen vid sjukdomar som klassificeras annorst„des
G328   Andra specificerade degenerativa tillst†nd i nervsystemet vid sjukdomar som klassificeras annorst„des
G460   Arteria cerebri media-syndrom
G461   Arteria cerebri anterior-syndrom
G462   Arteria cerebri posterior-syndrom
G463   Cerebrovaskul„rt hj„rnstamssyndrom
G464   Cerebrovaskul„rt lillhj„rnssyndrom
G465   Isolerat motoriskt lakun„rt syndrom
G466   Isolerat sensoriskt lakun„rt syndrom
G467   Andra lakun„ra syndrom
G468   Andra vaskul„ra syndrom i hj„rnan vid cerebrovaskul„ra sjukdomar
G530   Neuralgi efter zoster-infektion
G531   Multipla kranialnervspareser vid infektions- och parasitsjukdomar som klassificeras annorst„des
G532   Multipla kranialnervspareser vid sarkoidos
G533   Multipla kranialnervspareser vid tum”rsjukdomar
G538   Andra kranialnervsf”r„ndringar vid andra sjukdomar som klassificeras annorst„des
G550   Kompression av nervr”tter och nervplexus vid tum”rsjukdomar
G550A  Kompression av nervr”tter och nervplexus i halsryggen vid tum”rsjukdom
G550J  Kompression av nervr”tter och nervplexus i torakalryggen vid tum”rsjukdom
G550K  Kompression av nervr”tter och nervplexus i l„ndryggen vid tum”rsjukdom
G550X  Kompression av nervr”tter och nervplexus med icke specificerad lokalisation vid tum”rsjukdom
G551   Kompression av nervr”tter och nervplexus vid sjukdomar i mellankotskivorna
G552   Kompression av nervr”tter och nervplexus vid spondylos
G553   Kompression av nervr”tter och nervplexus vid andra rygg†kommor
G558   Kompression av nervr”tter och nervplexus vid andra sjukdomar som klassificeras annorst„des
G590   Diabetisk mononeuropati
G598   Andra mononeuropatier vid sjukdomar som klassificeras annorst„des
G630   Polyneuropati vid infektions- och parasitsjukdomar som klassificeras annorst„des
G631   Polyneuropati vid tum”rsjukdom
G632   Diabetisk polyneuropati
G633   Polyneuropati vid andra endokrina och metaboliska sjukdomar
G634   Polyneuropati vid n„ringsbristtillst†nd
G635   Polyneuropati vid systemiska bindv„vssjukdomar
G636   Polyneuropati vid andra muskuloskeletala sjukdomar
G638   Polyneuropati vid andra sjukdomar som klassificeras annorst„des
G730   Myastena syndrom vid endokrina sjukdomar
G731   Eaton-Lamberts syndrom
G732   Andra myastena syndrom vid tum”rsjukdomar
G733   Myastena syndrom vid andra sjukdomar som klassificeras annorst„des
G734   Myopati vid infektions- och parasitsjukdomar som klassificeras annorst„des
G735   Myopati vid endokrina sjukdomar
G736   Myopati vid metaboliska sjukdomar
G737   Myopati vid andra sjukdomar som klassificeras annorst„des
G940   Hydrocefalus vid infektions- och parasitsjukdomar som klassificeras annorst„des
G941   Hydrocefalus vid tum”rsjukdom
G942   Hydrocefalus vid andra sjukdomar som klassificeras annorst„des
G948   Andra specificerade tillst†nd i hj„rnan vid sjukdomar som klassificeras annorst„des
G990   Autonom neuropati vid endokrina och metaboliska sjukdomar
G991   Andra tillst†nd i autonoma nervsystemet vid andra sjukdomar som klassificeras annorst„des
G992   Myelopati vid sjukdomar som klassificeras annorst„des
G998   Andra specificerade tillst†nd i nervsystemet vid sjukdomar som klassificeras annorst„des
H030   Parasitinfestation av ”gonlock vid sjukdomar som klassificeras annorst„des
H031   ™gonlocksf”r„ndring vid andra infektionssjukdomar som klassificeras annorst„des
H038   ™gonlocksf”r„ndring vid andra sjukdomar som klassificeras annorst„des
H060   F”r„ndringar i t†rapparaten vid sjukdomar som klassificeras annorst„des
H061   Parasitinfestation i ”gonh†lan vid sjukdomar som klassificeras annorst„des
H062   Dystyreoid exoftalmos
H063   Andra f”r„ndringar i ”gonh†lan vid sjukdomar som klassificeras annorst„des
H130   Filariainfektion i bindehinnan
H131   Konjunktivit vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
H132   Konjunktivit vid andra sjukdomar som klassificeras annorst„des
H133   Okul„r pemfigoid
H138   Andra f”r„ndringar i bindehinnan vid sjukdomar som klassificeras annorst„des
H190   Sklerit och episklerit vid sjukdomar som klassificeras annorst„des
H191   Keratit och keratokonjunktivit orsakad av herpes simplex-virus
H191A  Keratitis dendritica herpetica
H191B  Keratitis disciformis herpetica
H191X  Ospecifik keratit eller keratokonjunktivit av herpesvirus
H192   Keratit och keratokonjunktivit vid andra infektions- eller parasitsjukdomar som klassificeras annorst„des
H193   Keratit och keratokonjunktivit vid andra sjukdomar som klassificeras annorst„des
H198   Andra f”r„ndringar i senhinnan och hornhinnan vid sjukdomar som klassificeras annorst„des
H220   Iridocyklit vid infektions- och parasitsjukdomar som klassificeras annorst„des
H221   Iridocyklit vid andra sjukdomar som klassificeras annorst„des
H228   Andra f”r„ndringar i iris och ciliarkroppen vid sjukdomar som klassificeras annorst„des
H280   Diabetisk katarakt
H281   Katarakt vid andra endokrina sjukdomar, nutritionsrubbningar och metaboliska sjukdomar som klassificeras annorst„des
H282   Katarakt vid andra sjukdomar som klassificeras annorst„des
H288   Andra linsf”r„ndringar vid sjukdomar som klassificeras annorst„des
H320   Korioretinal inflammation vid infektions- och parasitsjukdomar som klassificeras annorst„des
H328   Andra korioretinala f”r„ndringar vid sjukdomar som klassificeras annorst„des
H360   Diabetisk retinopati
H360A  Icke proliferativ diabetisk retinopati
H360B  Proliferativ diabetisk retinopati
H360X  Ospecificerad form av diabetisk retinopati
H368   Andra retinala f”r„ndringar vid sjukdomar som klassificeras annorst„des
H420   Glaukom vid endokrina sjukdomar, nutritionsrubbningar och metaboliska sjukdomar som klassificeras annorst„des
H428   Glaukom vid andra sjukdomar som klassificeras annorst„des
H450   Glaskroppsbl”dning vid sjukdomar som klassificeras annorst„des
H451   Endoftalmit vid sjukdomar som klassificeras annorst„des
H458   Andra f”r„ndringar i glaskroppen och ”gongloben vid sjukdomar som klassificeras annorst„des
H480   Optikusatrofi vid sjukdomar som klassificeras annorst„des
H480A  Postinflammatorisk optikusatrofi
H480B  Optikusatrofi vid intrakraniellt neoplasm
H480C  Optikusatrofi vid annan intrakraniell skada
H480W  Optikusatrofi vid andra sjukdomar som klassificeras annorst„des
H481   Retrobulb„rneurit vid sjukdomar som klassificeras annorst„des
H488   Andra f”r„ndringar i synnerven eller synbanorna vid sjukdomar som klassificeras annorst„des
H580   Rubbningar i pupillfunktionen vid sjukdomar som klassificeras annorst„des
H581   Synrubbningar vid sjukdomar som klassificeras annorst„des
H588   Andra specificerade f”r„ndringar i ”gat och n„rliggande organ vid sjukdomar som klassificeras annorst„des
H620   Extern otit vid bakteriesjukdomar som klassificeras annorst„des
H621   Extern otit vid virussjudomar som klassificeras annorst„des
H622   Extern otit vid mykoser
H623   Extern otit vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
H624   Extern otit vid andra sjukdomar som klassificeras annorst„des
H628   Andra f”r„ndringar i ytter”rat vid sjukdomar som klassificeras annorst„des
H670   Mellan”reinflammation vid bakteriesjukdomar som klassificeras annorst„des
H671   Mellan”reinflammation vid virussjukdomar som klassificeras annorst„des
H678   Mellan”reinflammation vid andra sjukdomar som klassificeras annorst„des
H750   Mastoidit vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
H758   Andra specificerade tillst†nd i mellan”rat och mastoidutskottet vid sjukdomar som klassificeras annorst„des
H829   Yrselsyndrom vid sjukdomar som klassificeras annorst„des
H940   Akustikusneurit vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
H948   Andra specificerade tillst†nd i ”rat vid sjukdomar som klassificeras annorst„des
I320   Perikardit vid bakteriesjukdomar som klassificeras annorst„des
I321   Perikardit vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
I328   Perikardit vid andra specificerade sjukdomar som klassificeras annorst„des
I390   Mitralisklaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I391   Aortaklaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I392   Trikuspidalisklaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I393   Pulmonalisklaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I394   Multipla klaff”r„ndringar vid sjukdomar som klassificeras annorst„des
I398   Endokardit, icke specificerad klaff, vid sjukdomar som klassificeras annorst„des
I410   Myokardit vid bakteriesjukdomar som klassificeras annorst„des
