Tunniste;Lyhenne;Nimi;Pitkä nimi;Ylempi koodi;Hierarkiataso;Voimassaolo alkaa;Voimassaolo päättyy;Muutospvm;Viim. tallentaja;Tila;Määritelmä;OID;Anm.;Exkluderar;Huom.;Inkluderar;Korvaava koodi;Lehtisolmu;Long_name;Långt_namn;Mukaan lukien;NCSP+;NCSP+ ala;NCSP ala;NCSP+ luku;NCSP luku;NCSP+ ryhmä;NCSP ryhmä;Note;Obs.;Pois lukien;Suun terveys (T/F);Taso;Vaativuus;Voimassa
A;Hermosto;Hermosto;Hermosto;;0;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Nervous system;Nervsystemet;;A;;;A;A;A;;;;;F;L;;T
AA;Kallo ja kallon sisäiset elimet;Kallo ja kallon sisäiset elimet;Kallo ja kallon sisäiset elimet;A;1;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Skull and intracranial structures;Kranium och intrakraniala strukturer;;AA;;;A;A;AA;AA;;;;T;R;;T
AA_;Pään diagnostinen radiologia;Pään diagnostinen radiologia;Pään diagnostinen radiologia;AA;2;1.1.2002;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Diagnostic radiology of head and brain;Diagnostisk radiologi av huvudet;;AAD;;AA_;A;A;AA;AA;;;;F;A;;T
AAA;Aivojen tutkimusleikkaukset;Aivojen tutkimusleikkaukset;Aivojen tutkimusleikkaukset;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Diagnostic intracranial procedures;Diagnostiska intrakraniala ingrepp;;AASA;;AAA;A;A;AA;AA;;;;F;A;;T
AAA00;Kallon aukaisu tutkimustarkoitus;Kallon aukaisu tutkimustarkoituksessa;Kallon aukaisu tutkimustarkoituksessa;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Exploratory craniotomy;Explorativ kraniotomi;;AASA00;;AAA;A;A;AA;AA;;;;F;C;;T
AAA10;Koepalaotto porareiän kautta aivoista;Koepalan otto poranreiän kautta aivoista;Koepalan otto poranreiän kautta aivoista;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Biopsy through craniotomy;Biopsi via borrhål;;AASA10;;AAA;A;A;AA;AA;;;;F;C;;T
AAA20;Aivokammion paineanturin asettam;Aivokammion paineanturin asettaminen;Aivokammion paineanturin asettaminen;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of intraventricular pressure monitoring device;Applikation av tryckgivare i ventrikel;;AASA20;;AAA;A;A;AA;AA;;;;F;C;;T
AAA25;Epiduraalitilan paineanturin asettam;Epiduraalitilan paineanturin asettaminen;Epiduraalitilan paineanturin asettaminen;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of epidural pressure monitoring device;Applikation av epidural tryckgivare;;AASA25;;AAA;A;A;AA;AA;;;;F;C;;T
AAA27;Aivokudoksen paineanturin asettami;Aivokudoksen paineanturin asettaminen;Aivokudoksen paineanturin asettaminen;AAA;3;1.1.2000;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of intracerebral pressure monitoring device;Applikation av intracerebral tryckgivare;;AASA27;;AAA;A;A;AA;AA;;;;F;C;;T
AAA30;Elektrodien asettaminen epiduraali;Elektrodien asettaminen epiduraalisesti;Elektrodien asettaminen epiduraalisesti;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of epidural electrodes;Inläggande av epidurala elektroder;;AASA30;;AAA;A;A;AA;AA;;;;F;C;;T
AAA35;Elektrodien asettaminen subduraali;Elektrodien asettaminen subduraalisesti;Elektrodien asettaminen subduraalisesti;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of subdural electrodes;Inläggande av subdurala elektroder;;AASA35;;AAA;A;A;AA;AA;;;;F;C;;T
AAA40;Elektrodien asettamin aivojen sisälle;Elektrodien asettaminen aivojen sisälle;Elektrodien asettaminen aivojen sisälle;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Insertion of intracerebral electrodes;Inläggande av intracerebrala elektroder;;AASA40;;AAA;A;A;AA;AA;;;;F;C;;T
AAA50;Aivojen tähystys;Aivojen tähystys;Aivojen tähystys;AAA;3;1.1.2007;31.12.2030;19.10.2009;Peltonen, Veli-Pekka;1;;;;;;;;T;Intracranial endoscopy;Intrakraniell endoskopi;;AASA50;;AAA;A;A;AA;AA;;;;F;C;;T
AAA99;Muu aivojen tutkimusleikkaus;Muu aivojen tutkimusleikkaus;Muu aivojen tutkimusleikkaus;AAA;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other diagnostic intracranial procedures;Annan diagnostisk intrakranial operation;;AASA99;;AAA;A;A;AA;AA;;;;F;C;;T
AAB;Aivokasvain ja aivomuutos poistot;Aivokasvaimien ja aivomuutosten poistot;Aivokasvaimien ja aivomuutosten poistot;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Excision and destruction of intracranial lesion;Exstirpation eller destruktion av intrakranial förändring;;AASB;;AAB;A;A;AA;AA;;;;F;A;;T
AAB00;Aivokasvain tai aivomuutos poisto;Aivokasvaimen tai aivomuutoksen poisto;Aivokasvaimen tai aivomuutoksen poisto;AAB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extirpation of intracranial lesion;Total exstirpation av intrakranial tumör eller lokal lesion;;AASB00;;AAB;A;A;AA;AA;;;;F;C;;T
AAB10;Aivokasvain/muutos resektio;Aivokasvain/muutos resektio;Aivokasvaimen tai aivomuutoksen poisto osittain;AAB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Partial excision of intracranial lesion;Delresektion av intrakranial tumör/förändring;;AASB10;;AAB;A;A;AA;AA;;;;F;C;;T
AAB20;Aivokasvain/muutos destruktio;Aivokasvain/muutos destruktio;Aivokasvaimen tai aivomuutoksen tuhoaminen;AAB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Destruction of intracranial lesion;Destruktion av intrakranial tumör/lesion;;AASB20;;AAB;A;A;AA;AA;;;;F;C;;T
AAB30;Aivotilan spont verihyytymän poisto;Aivotilan spontaanin verihyytymän poisto;Aivotilan spontaanin verihyytymän poisto;AAB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Evacuation of spontaneous intracranial haematoma;Utrymning av icke-traumatiskt intrakranialt hematom;;AASB30;;AAB;A;A;AA;AA;;;;F;C;;T
AAB99;Muu aivokasvain/muutos poisto;Muu aivokasvain/muutos poisto;Muu aivokasvaimen tai aivomuutoksen poisto;AAB;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other excision or destruction of intracranial lesion;Annan exstirpation av intrakranial tumör/förändring;;AASB99;;AAB;A;A;AA;AA;;;;F;C;;T
AAC;Aivoverisuonien leikkaukset;Aivoverisuonien leikkaukset;Aivoverisuonien toimenpiteet;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations for intracranial aneurysm and other vascular lesions;Intrakraniala kärlåtgärder;;AASC;;AAC;A;A;AA;AA;;;;F;A;;T
AAC00;Aivoaneurysman kaulan sulkeminen;Aivoaneurysman kaulan sulkeminen;Aivovaltimopullistuman  kaulan sulkeminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Ligature of intracranial aneurysm;Stjälkligatur av intrakranialt aneurysm;;AASC00;;AAC;A;A;AA;AA;;;;F;C;;T
AAC05;Aivoaneurysman syöttövaltimon sulku;Aivoaneurysman syöttövaltimon sulku;Aivovaltimopullistuman syöttävän valtimon sulkeminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Ligature of feeding artery of intracranial aneurysm;Kärlligatur proximalt om intrakranialt aneurysm;;AASC05;;AAC;A;A;AA;AA;;;;F;C;;T
AAC10;Aivoaneurysman seinämän vahvist;Aivoaneurysman seinämän vahvistaminen;Aivovaltimopullistuman seinämän vahvistaminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Reinforcement of intracranial aneurysm wall;Väggförstärkning av intrakranialt aneurysm;;AASC10;;AAC;A;A;AA;AA;;;;F;C;;T
AAC15;Aivoaneurysman trapping;Aivoaneurysman trapping;Aivovaltimopullistuman menevän ja tulevan valtimon sulkeminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Trapping of intracranial aneurysm;Ligatur proximalt och distalt om intrakranialt aneurysm, trapping;;AASC15;;AAC;A;A;AA;AA;;;;F;C;;T
AAC20;Aivoverisuonen liittäminen;Aivoverisuonen liittäminen;Aivoverisuonen liittäminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Anastomosis to intracranial vessel;Intrakranial kärlanastomos;;AASC20;;AAC;A;A;AA;AA;;;;F;C;;T
AAC30;Aivoverisuonifistelin tukkiminen;Aivoverisuonifistelin tukkiminen;Aivoverisuonien välisen avanteen  tukkiminen;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Intracranial occlusion of vascular fistula;Ocklusion av intrakranial kärlfistel;;AASC30;;AAC;A;A;AA;AA;;;;F;C;;T
AAC40;Aivoverisuoniepämuodostuman poisto;Aivoverisuoniepämuodostuman poisto;Aivoverisuoniepämuodostuman poisto;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Extirpation of intracranial arterio-venous malformation;Exstirpation av intrakranial arteriovenös missbildning;;AASC40;;AAC;A;A;AA;AA;;;;F;C;;T
AAC99;Muu aivoverisuonileikkaus;Muu aivoverisuonileikkaus;Muu aivoverisuonileikkaus;AAC;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation for aneurysm or other intracranial vascular lesion;Annan intrakranial kärloperation;;AASC99;;AAC;A;A;AA;AA;;;;F;C;;T
AAD;Aivo- ja kallovammojen leikkaukset;Aivo- ja kallovammojen leikkaukset;Aivo- ja kallovammojen leikkaukset;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations for head injuries;Operationer p.g.a. skalltrauma;;AASD;;AAD;A;A;AA;AA;;;;F;A;;T
AAD00;Epiduraalihematooman poisto;Epiduraalihematooman poisto;Verihyytymän poisto kovan aivokalvon päältä, epiduraalitilasta;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Evacuation of epidural haematoma;Utrymning av epiduralt hematom;;AASD00;;AAD;A;A;AA;AA;;;;F;C;;T
AAD05;Akuutin subduraalihematooman poisto;Akuutin subduraalihematooman poisto;Verihyytymän poisto kovan aivokalvon alta, akuutti subduraali;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Evacuation of acute subdural haematoma;Utrymning av akut subduralt hematom;;AASD05;;AAD;A;A;AA;AA;;;;F;C;;T
