Koodi 	F1
Nimike	FYSIOTERAPEUTTINEN TUTKIMINEN JA ARVIOINTI
Selite	
Koodi 	F110
Nimike	Fysioterapeuttinen orientoiva arvio
Selite	Nopea tilannearvio tai yleisarvio kuntoutuksen tai fysioterapian tarpeesta palvelun vireille panemiseksi, käynnistämiseksi, asiakkaan tilannetta seurattaessa ja tarkistettaessa tai jatkosuunnittelua sekä jatkotoimia varten.
Koodi 	F120
Nimike	Fysioterapeuttinen tutkiminen
Selite	Selvitetään asiakkaan liikkumis- ja toimintakyvyn taso, luonne ja ongelmat sekä arvioidaan fysioterapian tarve ja mahdollisuudet. Otetaan huomioon asiakkaan oma näkemys ja toiveet. Asiakkaan asento ja liikkeet, tasapainon hallinta, fyysinen suorituskyky, toimintakyky ja näiden edellytykset sekä elämisen laatu voivat olla tutkimisen ja arvioinnin kohteena. Yleisimpiä arviointimenetelmiä ovat havainnointi, haastattelu, palpointi tai muu manuaalinen tutkiminen, lomakekyselyt sekä erilaiset testaukset ja mittaukset. Saatua tietoa käytetään johtopäätösten teossa ja fysioterapian suunnittelussa sekä terapian vaikutusten arvioinnissa, muutosten seuraamisessa ja tietojen välittämisessä. Tutkiminen eri muodoissaan voi liittyä terapiajaksoon, fysioterapeuttiseen seurantaan tai konsultaatioon. Kohtaa F120 voidaan käyttää omana toimenpideluokkanaan silloin, kun tutkimisen kohteita (F121 - F125) ei haluta tarkemmin täsmentää.
Koodi 	F121
Nimike	Toiminta- ja työkyvyn arviointi
Selite	Asiakkaan fyysisten ja psyykkisten sekä sosiaalisten edellytysten arviointia suhteessa selviytymiseen kotona, työssä tai muussa elinympäristössä. Oman kehon tunnistaminen ja hahmottaminen, henkilökohtaiset voimavarat, liikkuminen ja omista perustarpeista huolehtiminen, selviytyminen erilaissa koti- ja työrooleissa sekä toimiminen yhteisön jäsenenä voivat olla arvioinnin kohteena.
Koodi 	F122
Nimike	Fyysisen suorituskyvyn arviointi
Selite	Aerobisen kestävyyden, hengitystoiminnan, lihasten toiminnan ja niiden ominaisuuksien sekä niveltoiminnan mittaamista ja arviointia. Mittaustulosten perusteella tehdään johtopäätökset asiakkaan fyysisen suorituskyvyn tasosta ja riittävyydestä arkiaskareisiin ja työtehtäviin. Samalla arvioidaan asiakkaan kokeman ongelman yhteys ja vaikutus laajempaan kokonaisuuteen; ihmisen toimintakykyyn
Koodi 	F123
Nimike	Asennon- ja liikkeen hallinnan arviointi
Selite	Toimintakykyyn liittyvä osa-alue, jossa arvioidaan motorisia ja sensorisia toimintoja, taitoja ja valmiuksia tutkittaessa asennon ja liikkeen hallintaa, tasapainoa, siirtymistä asennosta toiseen sekä liikkumista.
Koodi 	F124
Nimike	Kivun tutkiminen ja arviointi
Selite	Asiakkaan kokeman kivun ja kiputuntemusten tunnistamista sekä arviointia toimintakykyyn ja elämänlaatuun vaikuttavana tekijänä. Kivun paikka, esiintymistiheys ja -tilanne, kivun kesto, voimakkuus, ilmenemisajankohta, kivun luonne ja kivun kokeminen voivat olla arvioinnin kohteena.
Koodi 	F130
Nimike	Fysioterapiasuunnitelman laatiminen
Selite	Fysioterapian suunnittelu perustuu kohdassa F120 kuvattuun fysioterapeuttiseen tutkimiseen. Yhteistyössä asiakkaan tai asiakasryhmän kanssa laaditaan kirjallinen fysioterapiasuunnitelma, joka on pohja fysioterapian toteuttamiselle, seurannalle ja onnistumisen arvioinnille.
Koodi 	F190
Nimike	Muu fysioterapeuttinen tutkiminen ja arviointi
Selite	Huom! Elin- ja työympäristöön sekä apuvälineisiin liittyvä fysioterapeuttinen arviointi kuvataan pääryhmässä F3.
Koodi 	F2
Nimike	FYSIOTERAPIAN OHJAUS- JA TERAPIAKÄYTÄNNÖT
Selite	
Koodi 	F210
Nimike	Fysioterapeuttinen ohjaus ja neuvonta
Selite	Asiakasta tuetaan harjoittelemaan itsenäisesti, ymmärtämään harjoittelun tarkoitus ja ottamaan omat voimavarat käyttöön yhdessä asetettujen fysioterapian tavoitteiden saavuttamiseksi. Yhdessä asiakkaan kanssa etsitään vaihtoehtoisia ratkaisuja, kun tavoitteena ovat muutokset esimerkiksi liikuntatottumuksissa sekä työ- ja toimintatavoissa. Asiakkaan ja/tai omaisen ohjaus voi olla verbaalista, manuaalista tai visuaalista, esimerkiksi videoinnin avulla tapahtuvaa. Ohjausta ja neuvontaa voidaan antaa myös puhelimitse tai tietotekniikkaa hyödyntäen. Ohjaus voidaan toteuttaa yksilöllisesti tai eri suuruisissa ryhmissä ja sitä voidaan tehostaa kirjallisin harjoittelu- tai muin ohjein. Kohtaa F210 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F211 - F214) ei haluta tarkemmin täsmentää.
Koodi 	F211
Nimike	Terveyttä edistävä neuvonta
Selite	Asiakas saa terveyttä ja sairautta koskevaa tietoa, ohjausta liikunnallisiin ja muihin terveyttä edistäviin elämäntapoihin sekä terveys- ja liikuntapalvelujen käyttöön. Häntä aktivoidaan ottamaan itse vastuuta omasta terveydestään ja sen edistämisestä sekä neuvotaan, miten terveysriskejä voisi välttää tai miten terveydelle haitallisia elämäntilanteita voisi käsitellä.
Koodi 	F212
Nimike	Toimintakykyä edistävä ohjaus ja neuvonta
Selite	Asiakas saa ohjausta ja neuvoja, jotta hän pystyisi paremmin tunnistamaan ja käyttämään omia voimavarojaan sekä hallitsemaan oireitaan. Tavoitteena on myös, että asiakas oppisi tulemaan toimeen sairautensa, vammansa tai heikentyneen toimintakykynsä kanssa. Sisältää myös pre- ja postoperatiivisen ohjauksen ja neuvonnan.
Koodi 	F213
Nimike	Työkykyä edistävä ohjaus ja neuvonta
Selite	Työntekijään ja työhön liittyvää neuvontaa. Sisältää muun muassa kuormitusta vähentävien työasentojen ja työliikkeiden neuvonnan, työpaikkaliikuntaan ohjauksen, elpymisneuvonnan sekä työoloja koskevan ergonomiaohjauksen.
Koodi 	F214
Nimike	Yksilöllisen fysioterapiaohjelman laatiminen
Selite	Asiakkaan tarpeisiin perustuen ja yhteistyössä hänen kanssaan laaditaan yksilöllinen harjoitus-, omahoito-ohjelma tai muu yksilöllinen kirjallinen/visuaalinen ohje. Sisältää myös ohjauksen ja ohjeet saliharjoittelua tai kuntoliikuntaa varten.
Koodi 	F220
Nimike	Terapeuttinen harjoittelu
Selite	Fysioterapiassa terapeuttinen harjoittelu tarkoittaa aktiivisten ja toiminnallisten menetelmien käyttöä, joiden avulla pyritään vaikuttamaan asiakkaan fyysisiin ominaisuuksiin ja aktivoimaan hänen tietoisia toimintojaan. Voidaan harjoittaa asiakkaan hengitys- ja verenkiertoelimistön suorituskykyä, lihasvoimaa, lihaskestävyyttä, nivelten liikkuvuutta ja/tai motorisia taitoja, kuten kävelyä tai tasapainon hallintaa. Harjoittelun avulla voidaan lievittää kipua sekä lisätä kehon hallintaa ja itsetuntemusta. Fysioterapeutti ohjaa harjoittelua yksilöllisesti tai ryhmissä verbaalisesti, manuaalisesti tai visuaalisesti. Harjoittelussa voidaan käyttää apuna erilaisia laitteita (esim. hengitystä tehostavat välineet ja laitteet, kuntosalilaitteet, lääkinnällinen harjoitusterapia). Kohtaa F220 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F221 - F223) ei haluta tarkemmin täsmentää.
Koodi 	F221
Nimike	Toimintakyvyn ja liikkumisen harjoittaminen
Selite	Asiakkaan fyysisen ja/tai psykofyysisen toimintakyvyn kokonaisvaltaista ja laaja-alaista harjoittamista tavoitteena mahdollisimman itsenäinen selviytyminen elinympäristössä mukaan lukien sosiaalinen kanssakäyminen. Sisältää rentousterapian sekä kehon (ruumiin) hallintaa ja itsetuntemusta edistävät harjoitukset sekä liikuntaharjoittelun.
Koodi 	F222
Nimike	Fyysisen suorituskyvyn harjoittaminen
Selite	Asiakkaan hengitys- ja verenkiertoelimistön suorituskyvyn sekä tuki- ja liikuntaelimistön toiminnan harjoittamista.
Koodi 	F223
Nimike	Asennon ja liikkeen hallinnan harjoittaminen
Selite	Asiakkaan motoristen ja sensoristen toimintojen, taitojen ja valmiuksien harjoittamista tavoitteena asennon, tasapainon ja liikkeen tai liikesarjan parempi hallinta.
Koodi 	F230
Nimike	Manuaalinen terapia
