Koodi 	P1
Nimike	Puheterapeuttinen tutkimus
Selite	Tutkimuksessa selvitetään puhe-, kieli-, ääni- ja kommunikaatiohäiriöiden sekä syömiseen liittyvien motoristen toimintahäiriöiden luonne ja vaikeusaste, puheterapeuttinen diagnoosi ja puheterapian tarve sekä mahdollisuudet kuntoutussuunnitelman laatimiseksi.
Koodi 	P110
Nimike	Puheterapeuttinen orientoiva kartoitus
Selite	Lyhyt, orientoiva kartoitus puhe- tai kommunikaatiotilanteesta laajempaa tutkimussuunnitelmaa varten. Selvitetään, tarvitaanko tarkempi laaja-alainen puheterapeuttinen tutkimus vai riittääkö ohjaus ja neuvonta tai tilanteen seuranta.
Koodi 	P120
Nimike	Kuntoutustarpeen ja mahdollisuuksien puheterapeuttinen arviointi
Selite	Arvioinnissa kartoitetaan asiakkaan kokonaistilanne. Selvitetään tarvitseeko asiakas puheterapiaa ja mitkä ovat puheterapiamahdollisuudet, huomioidaan myös asiakkaan resurssit ja puheterapian saatavuus. Arvioinnin perusteella laaditaan kuntoutussuunnitelma joko puheterapian osalta tai laajasti yhdessä moniammatillisen kuntoutustyöryhmän kanssa.
Koodi 	P130
Nimike	Puheterapeuttinen diagnostinen tutkimus
Selite	Laaja-alainen puheterapeuttinen tutkimus puheen, kielen, äänen, kommunikaation ja nielemisen häiriöistä sekä häiriöiden vaikeusasteesta. Tutkimus liittyy usein laajempaan lääketieteelliseen selvitykseen sisältäen myös erotusdiagnostiikan, esim. onko kyseessä afasia/dysartria/dementia/kuulovamma tai kielihäiriö/viivästynyt kielenkehitys/kehitysvamma. Laaja-alainen puheterapeuttinen tutkimus toimii myös puheterapeuttisen kuntoutuksen suunnittelun pohjana.
Koodi 	P140
Nimike	Puheterapeuttinen seurantatutkimus
Selite	Seurantatutkimuksella arvioidaan puheterapian tuloksellisuutta ja oikein kohdentamista sekä tarkennetaan kuntoutussuunnitelmaa terapian kuluessa. Seurantatutkimuksilla myös arvioidaan puheterapeutin seurannassa olevien asiakkaiden puhe- ja kommunikaatiotilannetta.
Koodi 	P150
Nimike	Kommunikaatioympäristön puheterapeuttinen arvio
Selite	Puheterapeutin suorittama arvio siitä, miten asuin-, hoito- tai työskentely-ympäristö tukee asiakkaan kommunikointia. Arviossa huomioidaan fyysinen ympäristö ja keskustelukumppaneiden osuus.
Koodi 	P190
Nimike	Muu tai tarkemmin määrittämätön puheterapeuttinen tutkimus
Selite	
Koodi 	P2
Nimike	Puheterapia
Selite	Puheterapialla vaikutetaan niihin perusvalmiuksiin ja prosesseihin, jotka ovat kielellisen ja ei-kielellisen kommunikointikyvyn ja vuorovaikutuksen perusedellytyksiä. Terapia on asiakkaan kielen, puheen, äänen ja kommunikoinnin häiriöiden, kasvojen ja suun alueen motoristen toimintahäiriöiden ja syömis- ja nielemisvaikeuksien poistamista ja helpottamista sekä kehityksen tukemista puheterapeuttisin toimenpitein. Terapiatoimenpiteillä pyritään normaalien toimintojen kehittymiseen tai palautumiseen ja vaikeimmissa tapauksissa häiriöiden kompensoimiseen korvaavilla keinoilla. Terapian tavoitteena on asiakkaan iästä, ongelman vaikeusasteesta ja laadusta riippuen kommunikoinnin ja vuorovaikutuksen tukeminen, kielen ja puheen aivotoiminnallisen kehityksen tukeminen, kielellis-kognitiivisten toimintojen uudelleen organisoituminen (kielenoppimisen jälkeen tulleet häiriöt), viestintä- ja työkyvyn palautuminen ja ravinnonsaanti optimaalisin keinoin.
Koodi 	P210
Nimike	Yksilöllinen puheterapia
Selite	Terapian sisältö määräytyy puheterapeuttisen tutkimuksen perusteella ja se liitetään asiakkaan terapia- ja kuntoutussuunnitelmaan. Terapian sisältöön vaikuttavat asiakkaan puheterapeuttinen diagnoosi, häiriön vaikeusaste, meneillään olevan kuntoutuksen vaihe, valitut terapiamenetelmät ja asiakkaan ikä. Puheterapeutti käyttää työssään tunnettuja ja yleisesti hyväksyttyjä menetelmiä. Puheterapia on esimerkiksi lapsen kielenkehityksen ja vuorovaikutustaitojen tukemista, änkytysterapiaa, ääniterapiaa, syömis- ja nielemisvaikeuksien kuntoutusta, afasiaterapiaa jne. (Ks. tarkemmin kohta puheterapeuttiset diagnoosiluokitukset.)
Koodi 	P220
Nimike	Yksilöllinen puheterapia moniammatillisessa yhteistyössä
Selite	Puheterapia toteutetaan yhdessä toisen ammattihenkilön kanssa (esim. toimintaterapeutti, fysioterapeutti, psykologi tai sairaanhoitaja). Tätä terapiamuotoa voidaan käyttää esimerkiksi monivammaisten asiakkaiden kuntoutuksessa.
Koodi 	P230
Nimike	Ryhmämuotoinen puheterapia
Selite	Kommunikointi- ja vuorovaikutustaitojen kehittämistä ja tukemista ryhmässä. Ryhmäterapia tukee kommunikoinnin sosiaalista aspektia ja terapiaan on mahdollista soveltaa useita terapeuttisia ja ryhmätyöhön liittyviä teorioita. Ryhmäterapia voidaan myös toteuttaa tietokoneavusteisena ryhmäkuntoutuksena.
Koodi 	P240
Nimike	Ryhmämuotoinen puheterapia moniammatillisessa yhteistyössä
Selite	Terapiaryhmää vetää puheterapeutti yhdessä esimerkiksi fysioterapeutin, toimintaterapeutin, erityislastentarhanopettajan, neuropsykologin tai vastaavanlaisen ammattihenkilön kanssa. Terapiassa huomioidaan samanaikaisesti kommunikatiiviset, fyysiset, toiminnalliset, kasvatukselliset ym. näkökulmat ja näin ryhmäterapian hyöty kasvaa.
Koodi 	P250
Nimike	Asiakkaan luona tapahtuva puheterapia
Selite	Asiakkaan luona kotona, päiväkodissa tai muualla tapahtuva terapia, jossa korostuvat yksilöterapian lisäksi asiakkaan kommunikaation harjaannuttaminen sosiaalisissa tilanteissa ja kohta 32 Perheen, omaisten, yhteisön, henkilökunnan ohjaus/neuvonta, kohta 4 Apuvälinepalvelut ja kohta 62 Asiantuntijana toimiminen kuntoutuksen suunnittelussa.
Koodi 	P290
Nimike	Muu tai tarkemmin määrittämätön puheterapia
Selite	
Koodi 	P3
Nimike	Puheterapeuttinen ohjaus ja neuvonta
Selite	Asiakkaan ja/tai hänen lähiympäristönsä henkilöiden ohjaus. Puheterapeutin on tunnettava asiakkaan kommunikaatiohäiriö ja meneillään oleva kuntoutusvaihe. Asiakkaan ohjauksessa tavoitteena on lisätä asiakkaan vuorovaikutustaitoja ja edistää itsenäistä selviytymistä. Lähiympäristön henkilöiden ohjauksessa tavoitteena on lisätä asiakkaan kanssa vuorovaikutuksessa olevien henkilöiden tietoja ja taitoja asiakkaan kommunikointiin liittyvistä asioista. Näin lähiympäristön henkilöt omalla toiminnallaan edistävät asiakkaan kuntoutumista.
Koodi 	P310
Nimike	Asiakkaan puheterapeuttinen ohjaus ja neuvonta
