Koodi 	S1
Nimike	SOSIAALINEN ARVIO
Selite	Sosiaalinen arvio on sosiaalityön (kliininen) perustutkimus, johon sosiaalityön interventiot perustuvat. Tässä se on yleiskäsite eri tasoisille arvioille. Se voi olla yleiseen ammatilliseen tietoon, sosiaalisen tilanteen yksilölliseen selvittämiseen, sosiaaliseen tutkimukseen perustuva tai johonkin tiettyyn alueeseen syventyvä arvio. Sosiaalinen arvio tehdään joko potilaan aloitteesta tai osana moniammatillista terveydenhuollon palvelua. Siinä selvitetään potilaan sosiaalinen tilanne yhteiskunnallisissa yhteyksissään.
Koodi 	S110
Nimike	Sosiaalisen tilanteen yleisarviointi
Selite	Sosiaalisen tilanteen yleisarviointi on sosiaalisten riskitekijöiden ja kuntoutuksen tarpeen tunnistamista sekä tarvittavien jatkoselvitysten ja toimenpiteiden käynnistämistä. Se tapahtuu yleisen ammatillisen sosiaalisen tiedon pohjalta lyhyen tapaamisen yhteydessä, konsultaationa asiakirjojen perusteella tai hoito- ja kuntoutustyöryhmissä.
Koodi 	S120
Nimike	Sosiaalisen tilanteen yksilöllinen selvittäminen
Selite	Sosiaalisen tilanteen yksilöllinen selvittäminen on potilaan haastatteluun ja asiakirjoihin perustuva arviointi. Se sisältää selvittelyn potilaan ajankohtaiseen tilanteeseen vaikuttavista tekijöistä, sairauden tai vajaakuntoisuuden aiheuttamista muutoksista arjen selviytymisessä, kohteena työkyky, toimeentulo, perhetilanne, asuminen, ihmissuhteet jne. Sen perusteella arvioidaan sosiaaliturvan saannin edellytykset sekä sosiaalipalvelujen ja tukitoimien tarve. Tarvittaessa tehdään yhteistyötä omaisten ja viranomaisten kanssa. Arviointi jäsentää potilaan elämäntilannetta hoidon ja palvelusuunnitelmien perustaksi. Siinä arvioidaan kuntoutuksen tarve ja mahdollisuudet, uudelleen arvioinnin tarve ja seurataan edistymistä.
Koodi 	S130
Nimike	Sosiaalinen tutkimus
