Copyright, Sundhedsstyrelsen
Sundhedsstyrelsens SKS-koder opdateres månedligt.
Dette udtræk modsvarer opdateringen d 01/04-2004 15:15:02.

"Kode";"Tekst"
"B";"Behandlings- og plejeklassifikation"
"BA";"Nervesystemet"
"BAB";"Anvendelse af perkutan adgang til nervesystemet"
"BABD";"Kateteranvendelse ved regionalanæstesi"
"BABZ";"Delprocedure med rel. til perkutan adgang til nervesyst."
"BABZ0";"Anlæggelse af kateter til regionalanæstesi"
"BABZ00";"Anlæggelse af epiduralkateter"
"BABZ00A";"Anlæggelse af tunnelleret epiduralkateter"
"BABZ01";"Anlæggelse af spinalkateter"
"BABZ1";"Fjernelse af kateter til regionalanæstesi"
"BABZ10";"Fjernelse af epiduralkateter"
"BAF";"Nervestimulation, blokade og smertebehandling"
"BAFA";"Specielle indgreb i neurologiske funktioner"
"BAFA0";"Behandling med nervestimulation"
"BAFA00";"Stimulatio radicis spinalis nervi sacralis"
"BAFA4";"Behandling med ganglieblokade"
"BAFA40";"Behandling med blokade af ganglion stellatum"
"BAFA41";"Behandling med blokade af ganglion coeliaca"
"BAFA5";"Behandling med blokade af truncus sympaticus"
"BAFA50";"Behandling med blokade af truncus sympaticus thoracalis"
"BAFA51";"Behandling med blokade af truncus sympaticus lumbalis"
"BAFA6";"Smertebehandling med blokade"
"BAFA7";"Smertebehandling med infiltrationsanæstesi"
"BAFA8";"Smertebehandling ikke klassificeret andetsteds"
"BAFA80";"Smertebehandling med akupunktur"
"BAFA81";"Smertebehandling med inhalationsanalgesi"
"BAFA82";"Smertebehandling med fysioterapi"
"BAFA83";"Smertebehandling med zoneterapi"
"BAFA84";"Smertebehandling med kiropraktik"
"BAFA85";"Smertebehandling med laser"
"BAFA86";"Smertebehandling med biofeedback"
"BAFA87";"Smertebehandling med sterilvandspapler"
"BAFA88";"Smertebehandling via smertepumpe"
"BAH";"Medikamentel behandling med relation til nervesystemet"
"BAHY";"Med. behandling med virkning på CNS ikke klass.andetsteds"
"BAHY0";"Behandling med stærke analgeticum"
"BAHY1";"Behandling med svage analgeticum"
"BAHY11";"Behandling med svagt virkende opioide analgetika"
"BAHY12";"Behandling med svagt virkende non-opioide analgetika"
"BAHY12A";"Behandling med NSAID"
"BAHY12AA";"Behandling med acetylsalicylsyre og derivater"
"BAHY12AB";"Behandling med andre NSAID præparater eksklusiv coxib"
"BAHY12AC";"Behandling med cox-2 hæmmere (coxib)"
"BAHY12B";"Behandling med andre svagt virkende non-opioide analgetika"
"BAHY2";"Behandling med migrænemiddel"
