Copyright, Sundhedsstyrelsen
Sundhedsstyrelsens SKS-koder opdateres månedligt.
Dette udtræk modsvarer opdateringen d 01/04-2004 15:15:02.

"Kode";"Tekst"
"U";"Klassifikation af undersøgelser"
"UCGA";"Elektrooculografi (EOG)"
"UCGD";"Elektroretinografi (ERG)"
"UCGD00";"Elektroretinografi, mørke"
"UCGG";"Elektroneuronografi (ENG) og elektromyografi (EMG)"
"UCGG00";"ENG almen"
"UCGG01";"ENG/EMG speciel (< 2 timer)"
"UCGG02";"ENG/EMG (kompleks, > 2 timer))"
"UCGK";"Visuelt evokeret potentiale (VEP)"
"UCGK00";"VEP, Flashstimulation'"
"UCGK01";"VEP, Skakmønsterstimulation med fuldfelt"
"UCGK02";"VEP, Skakmønsterstimulation med halvfelt"
"UCGK03";"Somatosensorisk evoked potential (SEP), ulnaris adduceret"
"UCGL";"Hjernestamme evokeret potentiale (BAEP)"
"UCGM";"Sensorisk evokeret potentiale (SEP)"
"UCGM1";"SEP uden dermatomstimulation"
"UCGM2";"SEP med dermatomstimulation"
"UCGN";"Motorisk evokeret potentiale (MEP)"
"UCHA3";"Synsfeltundersøgelse, computer assisteret perimetri"
"UCXA";"Fotografiske undersøgelser af øje og øjenomgivelser"
"UCXF";"Angiografiske undersøgelser af øje og øjenomgivelser"
"UFYA00";"Elektrofysiologisk undersøgelse"
"UFYA01";"Elektrofysiologisk computermapping"
"UFYA02";"Computermapping af ve. ventrikel"
"UFYA10";"Måling af minutvolumen, Fick's princip"
"UFYA11";"Måling af minutvolumen, termodilutionsteknik"
"UFYA20";"Intrakoronar trykmåling med trykwire"
"UFYA22";"Elektrofysiologisk undersøgelse via transøsofageal pacing"
"UFYA24";"Elektrofysiologisk undersøgelse via ICD/permanent pacemaker"
"UFYA31";"Test af ICD enhed"
"UFYA31A";"Test af ICD enhed uden induktion af ventikelflimren"
"UFYA31B";"Test af ICD enhed med induktion af ventikelflimren"
"UWW";"Andre procedurer i forbindelse med undersøgelsesmateriale"
"UWW10";"Revurdering af egen tidligere undersøgelse"
"UWW20";"Ophængning af egen tidligere undersøgelse"
"UWW30";"Ophængning til konference af fremmed billedmateriale"
"UWW31";"Vurdering / evaluering af fremmed billedmateriale"
"UX";"Radiologiske procedurer"
"UXA";"Angiografier"
"UXAA";"Angiografier af hoved"
"UXAA30";"Arteriografi af a. carotis communis"
"UXAA31";"Arteriografi af a. carotis externa (selektiv)"
"UXAA32";"Arteriografi af a. carotis interna (selektiv)"
"UXAA33";"Arteriografi af a. vertebralis"
"UXAA35";"Angiografi af øjenvæv"
"UXAB";"Angiografier af hals"
"UXAB20";"Arteriografi af a. carotis communis (selektiv)"
"UXAB25";"Aortografi, thorakal mhp. aortacervikal arteriografi"
"UXAB30";"Flebografi på hals"
"UXAC";"Angiografier af thorax"
"UXAC10";"Pulmonal arteriografi"
"UXAC40";"Arteriografi af arteria mammaria"
"UXAC60";"Flebografi af vena cava superior med tilløb"
"UXAC65";"Flebografi gennem centralt venekateter"
"UXAC70";"Thorakal aortografi"
"UXAC80";"Venstresidig ventrikulografi"
"UXAC82";"Højresidig ventrikulografi"
"UXAC85";"Koronar arteriografi"
"UXAC85A";"Koronar arteriografi via arteria femoralis"
"UXAC85B";"Koronar arteriografi via arteria radialis"
"UXAC85C";"Koronar arteriografi via arteria brachialis"
"UXAC85D";"Koronar arteriografi via aorta abdominalis"
"UXAC90";"Aortokoronar graft-angiografi"
"UXAD";"Angiografier af abdomen"
"UXAD30";"Abdominal aortografi"
"UXAD35";"Bækkenangiografi"
"UXAD40";"Coeliacografi"
"UXAD45";"Arteria mesenterica superior angiografi"
"UXAD50";"Arteria mesenterica inferior angiografi"
"UXAD55";"Vena portae flebografi"
"UXAD60";"Splenoportografi"
"UXAD65";"Renal angiografi"
"UXAD65A";"Renal graft-angiografi"
"UXAD80";"Vena cava inferior flebografi"
"UXAD85";"Øvrige abdominale flebografier"
"UXAD90";"Cavernosografi"
"UXAE";"Angiografier af columna"
"UXAE60";"Spinal arteriografi"
"UXAF";"Angiografier af overekstremitet"
"UXAF00";"Overekstremitetsarteriografi"
"UXAF05";"Overekstremitetsflebografi"
"UXAF30";"Angiografi af dialysefistel"
"UXAG";"Angiografier af underekstremitet"
"UXAG00";"Arteriografi af underekstremitet inkl. aortofemoral"
"UXAG02";"Selektiv underekstremitetsarteriografi"
"UXAG05";"Underekstremitetsflebografi"
"UXAG30";"Varikografi"
"UXC";"CT-skanninger"
"UXCA";"CT-skanninger af hoved"
"UXCA00";"CT-skanning af cerebrum"
"UXCA05";"CT-skanning af kranie"
"UXCA10";"CT-skanning af hypofyse"
"UXCA15";"CT-skanning af os temporale"
"UXCA20";"CT-skanning af orbita"
"UXCA25";"CT-skanning af ansigtsskelet"
"UXCA40";"Aksial CT-skanning af bihuler, inkl. cavum nasi"
"UXCA45";"Koronal CT-skanning af bihuler, inkl. cavum nasi"
"UXCA50";"CT-skanning af rhino-oropharynx"
"UXCA55";"CT-skanning af tænder"
"UXCA60";"CT-skanning af mandiblen"
"UXCA75";"CT-skanning af spytkirtler"
"UXCA90";"CT-skanning af traumept. (hoved, thorax, abdomen og bækken)"
"UXCB";"CT-skanninger af hals"
"UXCB00";"CT-skanning af hals"
"UXCB20";"CT-skanning af larynx"
"UXCC";"CT-skanninger af thorax"
"UXCC00";"CT-skanning af thorax"
"UXCC20";"CT-skanning af klavikel"
"UXCC30";"CT-skanning af sternoklavikulærled"
"UXCC35";"CT-skanning af sternum"
"UXCC60";"CT-skanning af mediastinum"
"UXCC70";"CT-skanning af aorta thoracalis"
"UXCC75";"CT-skanning af lunger"
"UXCC77";"High Resolution CT-skanning af lunger"
"UXCD";"CT-skanninger af abdomen og bækken"
"UXCD00";"CT-skanning af abdomen"
"UXCD10";"CT-skanning af øvre abdomen"
"UXCD15";"CT-skanning af nedre abdomen, inkl. bækken"
"UXCD20";"CT-skanning af retroperitoneum"
"UXCD30";"CT-skanning af aorta abdominalis"
"UXCD40";"CT-skanning af lever"
"UXCD55";"CT-skanning af pancreas"
"UXCD60";"CT-skanning af nyrer"
"UXCD62";"CT-urografi"
"UXCD65";"CT-skanning af binyrer"
"UXCD75";"CT-skanning af blære"
"UXCD80";"CT-skanning af colon og rektum (CT-kolografi)"
"UXCE";"CT-skanninger af columna"
"UXCE10";"CT-skanning af columna cervicalis"
"UXCE12";"CT-skanning af cervikale disci"
"UXCE20";"CT-skanning af columna thoracalis"
"UXCE30";"CT-skanning af columna lumbalis"
"UXCE45";"CT-skanning af lumbale disci"
"UXCE50";"CT-skanning af os sacrum"
"UXCE80";"CT-osteodensitometri af columna"
"UXCF";"CT-skanninger af overekstremitet"
"UXCF15";"CT-skanning af skulder"
"UXCF20";"CT-skanning af overarm"
"UXCF25";"CT-skanning af albue"
"UXCF30";"CT-skanning af underarm"
"UXCF40";"CT-skanning af håndled"
