OPR	OPRNAVN
K	Klassifikation af operationer
KA	Operationer på nervesystemet
KAA	Operationer på kranium og intrakranielle strukturer
KAAA	Diagnostiske intrakranielle operationer
KAAA00	Kraniotomi, eksplorativ
KAAA10	Biopsi via kraniotomi
KAAA20	Implantation af intraventrikulært trykmålingsudstyr
KAAA23	Implantation af intrakranielt trykmålingsudstyr
KAAA25	Implantation af epiduralt trykmålingsudstyr
KAAA30	Implantation af epidural elektrode
KAAA35	Implantation af subdural elektrode
KAAA40	Implantation af intracerebral elektrode
KAAA99	Operation, intrakraniel, anden diagnostisk
KAAB	Excision af intrakranialt patologisk væv
KAAB00	Excision af intrakranielt patologisk væv
KAAB10	Resektion af intrakranielt patoligisk væv
KAAB20	Destruktion af intrakranielt patologisk væv
KAAB30	Fjernelse af intrakranielt spontant hæmatom
KAAB99	Operation, intrakranielt patologisk væv, anden
KAAC	Aneurisme og andre intrakranielle karoperationer
KAAC00	Ligatur af intrakranielt aneurisme (clips og lignende)
KAAC05	Ligatur, proksimal af intrakranielt aneurisme
KAAC10	Vægforstærkning af intrakraniel aneurisme
KAAC15	Trapping af intrakranielt aneurisme
KAAC20	Karanastomose, intrakarniel
KAAC30	Okklusion af karfistel, intrakraniel
KAAC40	Excision af intrakraniel arteriovenøs misdannelse
KAAC99	Operation, intrakraniel aneurisme, anden
KAAD	Op. ved kranielle og intrakranielle traumatiske forandringe
KAAD00	Fjernelse af epiduralt hæmatom
KAAD05	Fjernelse af akut subduralt hæmatom
KAAD10	Fjernelse af kronisk subduralt hæmatom
KAAD15	Fjernelse af intracerebralt traumatisk hæmatom
KAAD30	Revision af penetrerende kranielæsion
KAAD40	Revisio fractura cranii
KAAD99	Operation, intrakranielle traumatiske forandringer, anden
KAAE	Kraniobasale operationer
KAAE00	Exploratio transsphenoidale
KAAE10	Excision/resektion, transsphen. af intrakran. patolog. væv
KAAE20	Excision/resektion, transoral af intrakranielt patolog. væv
KAAE30	Excision/resektion, translabyr. af intrakran. patolog. væv
KAAE40	Excision/resektion, transtemp. af intrakranielt patolog. væ
KAAE50	Zygom-temporal excis/resektion af intrakran patologisk væv
KAAE99	Operation, kraniobasal, anden
KAAF	Shuntoperationer på hjerne og intracerebrale cyster
KAAF00	Ventriculostomia interna
KAAF05	Ventriculoperitoneal shunt
KAAF10	Lumboperitoneal shunt
KAAF15	Ventriculoatrial shunt
KAAF20	Revision af ventrikelshunt
KAAF25	Fjernelse af ventrikelshunt
KAAF30	Implantation af intraventrikulær injektionsdevice
KAAF99	Shuntop. på hjerneventrikel og intracerebrale cyster, anden
KAAG	Stereotaktiske intrakranielle operationer
KAAG00	Stereotaktisk intrakranial biopsi
KAAG10	Stereotaktisk intrakraniel destruktion af nukleus/nervebane
KAAG20	Stereotaktisk intrakraniel implantation af elektrode
KAAG30	Stereotaktisk intrakraniel implantation af strålekilde
KAAG40	Stereotaktisk intrakraniel implantation af foetalt væv
KAAG50	Stereotaktisk intrakraniel strålebehandling
KAAG99	Operation, intrakraniel, anden stereotaktisk
KAAH	Operationer på kranienerver
KAAH10	Rhizotomi af kranienerve
KAAH20	Dekompression af kranienerve
KAAH30	Termisk destruktion af kranienerve
KAAH40	Glycerolinjektion i kranienerve
KAAH50	Anastomose, kranienerve
KAAH60	Dekompression af kranienerve, mikrovasculær
KAAH99	Operation, kranienerve, anden
KAAJ	Operationer pga. epilepsi
KAAJ00	Hemispherektomi
KAAJ10	Lobektomi ved epilepsi
KAAJ15	Hippocampektomi
KAAJ20	Excision af epileptisk fokus
KAAJ25	Transcision af nervebaner ved epilepsi
KAAJ30	Kallosotomi ved epilepsi
KAAJ35	Hemidekortikation ved epilepsi
KAAJ99	Operation, epilepsi, anden
